prompt,completion
Generate ESB ItemName:Firebomband it's \nDescription: ,"Bisque urn filled with black powder.>>Explodes, inflicting fire damage.>>Though this urn is a crude and commonplace weapon,>>it owes its continued usage to its>>simplicity and effectiveness in a variety of situations."
Generate ESB ItemName:Firedrake Stoneand it's \nDescription: ,"An altered state of titanite. Use to imbue weapons with fire, or to provide fire reduction to shields.>>Sorcerers at the Melfian Magic Academy once attempted to imbue titanite with various elements, but are said to have failed. Someone must have succeeded though; what else would explain this stone?"
Generate ESB ItemName:Flame Butterflyand it's \nDescription: ,"Bottle filled with dried red butterflies. Stimulation of these rare butterflies creates a small flame, allowing torches to be lit on the go.>>These butterflies exude secretions which ignite upon exposure to air, protecting them from natural predators. Known and loved as handy fire-lighters, but feared as the catalysts of disastrous fires when found in swarms."
Generate ESB ItemName:Fragrant Branch of Yoreand it's \nDescription: ,A Fragrant tree branch with a faint sweet smell. Restore the life of things turned to stone. Extended inhalation of the branch's scent can lead to coughing and nausea.
Generate ESB ItemName:Gold Pine Resinand it's \nDescription: ,Rare pine resin which emits golden sparks. Applies lightning to Main-hand weapon. Affected weapon inflicts rare lightning damage making it effective against targets which are resilient to both magic and fire. Very effective against dragon family foes
Generate ESB ItemName:Gold Pine Resinand it's \nDescription: ,A rare pine resin with a golden glint. Applies lightning to Main-hand weapon.>>The affected weapon inflicts lightning damage for a short time. Particularly effective against foes who are resistant to magic and fire.
Generate ESB ItemName:Gold Pine Resinand it's \nDescription: ,Rare pine resin which emits golden sparks.>>Chunks of it are even rarer.>>Temporarily applies lightning to Main-hand weapon.>>Its origins are unknown although some have speculated that it may in fact be a type of fungal resin.
Generate ESB ItemName:Gough's Great Arrowand it's \nDescription: ,"Great arrow used by Hawkeye Gough, one of Lord Gwyn's Four Knights, for dragon slaying. Requires Greatbow. Gough personally crafts each stone tip, and wraps the shaft tightly with tree bark."
Generate ESB ItemName:Green Blossomand it's \nDescription: ,Green weed shaped like a flower. Temporary boost to stamina recovery speed. This uniquely bitter biting herb is sometimes harvested in large quantities but normally it is an annual plant found near water
Generate ESB ItemName:Green Blossomand it's \nDescription: ,"Green weed shaped like a leafy flower. Temporarily boosts stamina recovery speed.>>At one point, this herb was avoided due to its uniquely bitter taste, but once its effects became known, it was harvested to near extinction by merchants.>>Now, only exceptionally rare, wild specimens of this plant are left."
Generate ESB ItemName:Heavy Boltand it's \nDescription: ,"Large bolt. Used mainly with the Heavy Crossbow. These weighty bolts inflict high damage, but have reduced range."
Generate ESB ItemName:Heavy Gemand it's \nDescription: ,"A gem of infused titanite. Famously used to forge Farron greatswords.>>Used in infusion to create heavy weapons.>>A warrior can appreciate a heavy weapon, for they scale effectively with strength."
Generate ESB ItemName:Hexing Urnand it's \nDescription: ,"Hexed black lacquer urn.>>Explodes, inflicting dark damage.>>With the dark art of hexing strictly forbidden,>>who would dare fill an urn with such power?>>The very origin of the art are unclear,>>yet another reason hexing is feared."
Generate ESB ItemName:Hidden Blessingand it's \nDescription: ,"Holy water blessed by the Queen of Lothric.>>Fully restores FP.>>There is a grave in Lothric that sees no visitors, a dark place where rootless warriors rest. The Queen of Lothric alone cared to wish the poor souls good fortune."
Generate ESB ItemName:Hollow Gemand it's \nDescription: ,"A gem of infused titanite. A stone plentiful in Londor, land of Hollows.>>Used in infusion to create Hollow weapons.>>Hollow weapons are said to peer into the essence of its wielder, whose luck boosts attack."
Generate ESB ItemName:Holy Water Urnand it's \nDescription: ,"An urn filled with crystal-clear water.>>Originally intended as a soothing potion, this water scalds the skin of Undead and Hollows.>>In the old capital of Mirrah, an ancient, well-protected spring produces holy water,>>but the water has been difficult to acquire ever since Mirrah became embroiled in war."
Generate ESB ItemName:Homeward Boneand it's \nDescription: ,Bone fragment reduced to white ash. Return to last bonfire used for resting. Bonfires are fueled by bones of the Undead. In rare cases the strong urge of their previous owner's to seek bonfires enchants their bones with a homeward instinct.
Generate ESB ItemName:Homeward Boneand it's \nDescription: ,"A white-ashen bone. Return to the last bonfire rested at.>>Bonfires burn on the bones of Undead. And this bone, belonging to one whose journey was cut short, has the power to travel to bonfires. As if it yearns to resume its futile quest.."
Generate ESB ItemName:Human Effigyand it's \nDescription: ,"A warm, soft, shadow like effigy. Use this item to reverse Hollowing. It also weakens the links to other worlds, invasions and most cooperation.>>Peer closely at an effigy, and one begins to perceive a human form, but whose form it takes depends on the person looking."
Generate ESB ItemName:Human Pine Resinand it's \nDescription: ,"Charcoal pine resin rotted with human body fluids.>>Temporarily applies dark to Main-hand weapon.>>Normally used in the Undead Settlement for preservation and burials, but can mature into this state, becoming a valuable substance, used in a certain ceremony. Often seen for trade at exorbitant prices."
Generate ESB ItemName:Humanityand it's \nDescription: ,Rare tiny black sprite found on corpses. Use to gain 1 humanity and restore a large amount of HP. This black sprite is called humanity but little is known about its true nature. If the soul is the source of all life then what distinguishes the humanity we hold within ourselves?
Generate ESB ItemName:Iron Greatarrowand it's \nDescription: ,"Standard greatarrows made of iron.>>More effective than regular arrows, but considerably heavier."
Generate ESB ItemName:Kukriand it's \nDescription: ,"Small throwing machete. Throw at enemies to cause bleeding damage.>>A unique weapon originally used by swordsmen of Carthus, but now popular among bandits and thieves."
Generate ESB ItemName:Lacerating Knifeand it's \nDescription: ,"A throwing knife.>>Its sharp blade is intended to cause bleeding>>rather than simply inflict damage>>This simple weapon is easily utilized, but has limited range and deals little damage.>>However, if the knife can cause bleeding, the target's max HP will be lowered."
Generate ESB ItemName:Large Arrowand it's \nDescription: ,"Large arrow. Heavier arrows cause more damage, but have a shorter range."
Generate ESB ItemName:Large Divine Emberand it's \nDescription: ,"Ember required for weapon ascension. Large divine ember, of secret church rites. Intended for select divine blacksmiths"
Generate ESB ItemName:Large Emberand it's \nDescription: ,"Ember required for weapon ascension. A large, high-quality ember. Handled by the blacksmith of Astora"
Generate ESB ItemName:Large Flame Emberand it's \nDescription: ,Ember required for weapon ascension. Large flame ember used in ancient rites. Handled only by blacksmiths knowledgeable in ancient methods
Generate ESB ItemName:Large Magic Emberand it's \nDescription: ,"Ember required for weapon ascension. Large magic ember, a form of sorcery. Handled only by the Vinheim blacksmiths"
Generate ESB ItemName:Large Titanite Shardand it's \nDescription: ,"Large Titanite Shard used to reinforce equipment. Reinforces equipment up to +3.>>Titanite was discovered in an ancient layer of earth, and is said to be a gift of the gods. Titanite of this size has tremendous power, and is a very rare find."
Generate ESB ItemName:Lifegemand it's \nDescription: ,"Small stone made up of crystallized souls. Gradually restores a small amount of hp.>>Often found near abandoned corpses, as if it were what remains of the soul."
Generate ESB ItemName:Lightning Boltand it's \nDescription: ,"Special bolts imbued with lightning, crafted by the giant blacksmith of Anor Londo. The giant blacksmith has never seen a crossbow, but remembers the specifications of the bolts requested by ancient warriors"
Generate ESB ItemName:Lightning Boltand it's \nDescription: ,"Bolts imbued with lightning created by the giant blacksmith of the gods. However, the gods never used crossbows. These bolts are likely artifacts of the dragonless era, when the pact between gods and humans was upheld."
Generate ESB ItemName:Lightning Gemand it's \nDescription: ,"A gem of infused titanite. Found in the aftermath of dragon hunts.>>Used in infusion to create lightning weapons.>>Lightning weapons inflict lightning damage, and scale with faith."
Generate ESB ItemName:Lightning Greatarrowand it's \nDescription: ,"Greatarrows Imbued with lightning.>>Tipped with Gold Pine Resin.>>Weapons Fortified with lightning are effective>>against foes resistant to magic and fire.>>If you require magic but have learned non>>yourself, these will serve you well"
Generate ESB ItemName:Lightning Urnand it's \nDescription: ,"A small clay urn enwreathed in lightning.>>Explodes, inflicting lightning damage.>>Created in Melfia, a land that flourishes with magic and pyromancy.>>Though the lightning contained in the urn lacks potency, it is a boon to any>>inexperienced traveler."
Generate ESB ItemName:Lightning Urnand it's \nDescription: ,"Dragon-hunting tool used by Lothric knights.>>Explodes upon contact, inflicting lightning damage.>>The knights of Lothric have since tamed dragons, but were once hunters of dragons themselves.>>This explains their special hunting gear, and why they worshipped the sun."
Generate ESB ItemName:Lloyd's Talismanand it's \nDescription: ,"Talisman used by cleric knights. Blocks Estus recovery within a limited area.>>It is said that the cleric knights used these talismans to hunt down accursed Undead.>>Cleric knights fight with pride, and by blocking the recovery of the Undead, they can also fight with impunity."
Generate ESB ItemName:Magic Arrowand it's \nDescription: ,"Arrows imbued with magic.>>Tipped with aromatic Ooze.>>Weapons fortified with magic are particularly effective against heavily armored foes or creatures with thick scales.>>Useful in the short term for those who have learned no magic, or whose magic is exhausted."
Generate ESB ItemName:Magic Boltand it's \nDescription: ,Bolt imbued with magic>>Tipped with Aromatic Ooze>>Weapons fortified with magic are particularly effective against>>heavily armored foes or creatures with thick scales.>>Crossbows and specialized bolts allow warriors with low dexterity to inflict elemental damage.
Generate ESB ItemName:Magic Stoneand it's \nDescription: ,"An altered state of titanite. Use on weapon to convert wielder's intelligence into attack. Cannot be used on shields.>>Sorcerers at the Melfian Magic Academy once attempted to imbue titanite with carious elements, but are said to have failed. Someone must have succeeded, though; what else would explain this stone?"
Generate ESB ItemName:Millwood Greatarrowand it's \nDescription: ,"Heavy, sturdy greatarrows made of black oak that deal heavy damage but have limited range. Can only be fired using a greatbow.>>It is said that the Millwood Knights used these to face their sworn enemy, the Abyss Dragon."
Generate ESB ItemName:Monastery Charmand it's \nDescription: ,"A blessed charm.>>Cures poison and restores HP.>>Many such charms were blessed in reconstructed ancient ceremonies, carried out in the monastery of Lindelt, now know as>>the new home of miracles.>>Though it may lack the power of an original, in the circumstances dire enough, an imitation can be quite enough."
Generate ESB ItemName:Moonlight Arrowand it's \nDescription: ,"Arrow granted to those bound by Covenant to the Dark Sun Gwyndolin, Lord Gwyn's lastborn. Moonlight Arrows glow silver, and inflict magic damage."
Generate ESB ItemName:Mossfruitand it's \nDescription: ,"A small clump of mossfruit.>>Temporarily boosts bleed, poison, frost, and curse resistance.>>All mossfruit is the same regardless of its color, and has the effects of moss of all colors."
Generate ESB ItemName:Old Growth Balmand it's \nDescription: ,"A balm extracted from a rare plant.>>Temporarily increases strength.>>This special fragrant oil affects the mind, granting a fleeting sense of empowerment"
Generate ESB ItemName:Old Mundane Stoneand it's \nDescription: ,"An altered state of titanite. Use to imbue weapons with power of the mundane. Cannot be used on shields.>>People do not look favorably on the banal, but sometimes even the most mundane of objects can cast things in a most pleasant light."
Generate ESB ItemName:Old Radiant Lifegemand it's \nDescription: ,"Stone made up of crystallized souls.>>Gradually restores a large amount of HP.>>A rare stone with so brilliant a shine would fetch a handsome price. But what value could it really have, without knowing who died to leave it behind?"
Generate ESB ItemName:Onislayer Greatarrowand it's \nDescription: ,"Large arrows used to destroy giant horned oni in an eastern land. Can only be used with greatbows.>>Made from the feathers of an aged crow, it is said that these arrows fly as straight as their master."
Generate ESB ItemName:Pale Pine Resinand it's \nDescription: ,Pale pine resin that faintly glimmers.>>Temporarily applies magic to Main-hand weapon.>>The blood red substance sometimes found within suggests there is more to this so-called resin than meets the eye.
Generate ESB ItemName:Palestoneand it's \nDescription: ,"An altered state of titanite.>>Use on a weapon or shield>>to undo all imbued powers.>>This does not revert reinforcement, but undoes imbued powers such as magic, fire, poison, etc."
Generate ESB ItemName:Petrified Dragon Boneand it's \nDescription: ,"A large petrified bone. Reinforces equipment made from special souls.>>Commonly called dragon bone, but the veracity of the name is questionable. In any case, this petrified bone houses great power."
Generate ESB ItemName:Petrified Somethingand it's \nDescription: ,"An unidentified petrified object. Pleasant to the touch, despite its looks.>>A rare and peculiar thing, to be certain, but one without a known purpose."
Generate ESB ItemName:Pharros' Lockstoneand it's \nDescription: ,"Stone activating a creation of Pharros the Vagabond.>>Pharros the Vagabond was a legend who wandered the lands, creating contraptions to help those in sincere and dire need.>>The scope of his travels was so wide that the Pharros has been mistakenly credited with many inventions that were crafted by others"
Generate ESB ItemName:Poison Arrowand it's \nDescription: ,"Arrow with point dipped in poison. Ensures the demise of prey in a hunt, or the target in an assassination. Once an enemy is poisoned, one need only wait."
Generate ESB ItemName:Poison Gemand it's \nDescription: ,A gem of infused titanite. Discovered in the rotted forest of Farron.>>Used in infusion to create poison weapons.>>Such weapons inflict poison-laced damage that gradually eats away at foes.
Generate ESB ItemName:Poison Mossand it's \nDescription: ,"A faintly poisonous clump of moss.When ingested, it counteracts poison and cleanses one's insides.>>If enough poison builds up in the body to break out and cause poisoning, your HP will start to decrease.>>If you wish to stay alive, you would do well to keep a supply close to hand."
Generate ESB ItemName:Poison Stoneand it's \nDescription: ,"An altered state of titanite. Use to imbue weapons with poison, or to provide poison resistance to shields.>>Sorcerers at the Melfian Magic Academy once attempted to imbue titanite with various elements, but are said to have failed. Someone must have succeeded though; what else would explain this stone?"
Generate ESB ItemName:Poison Throwing Knifeand it's \nDescription: ,"A throwing knife. Intended to poison the target more than inflict direct damage.>>This simple weapon is easily utilized, but has limited range and deals little damage. However, if the knife can cause poison, the target will take damage for some time."
Generate ESB ItemName:Prism Stoneand it's \nDescription: ,Warm pebble emitting a beautiful phasing aura of seven colors with a very rare eight. The rainbow stone does nothing special but can serve as a path marker and can be dropped off a cliff to judge height by the sound of descent. If a loud noise is heard upon its landing then a fall off the ledge is surely lethal
Generate ESB ItemName:Purging Stoneand it's \nDescription: ,Ash-colored stone encasing a skull. Secret treasure of Arstor the Earl of Carim. Reduces curse build-up and breaks curse. Humans are helpless against curses and can only redirect their influence. The Purging Stone does not dispel curses but receives them as a surrogate. The stone itself was once a person or some other being
Generate ESB ItemName:Purple Moss Clumpand it's \nDescription: ,Medicinal purple moss clump. Reduces poison build-up. Cures poison. Poison builds up in the body and when it breaks out it causes gradual damage over a period of time. Poison can be exasperating so be certain to carry the needed quantity of these moss clumps when destined for an afflicted area
Generate ESB ItemName:Radiant Lifegemand it's \nDescription: ,Stone made up of crystallized souls. Gradually restores HP.>>The dull glimmer of these mysterious stones brightens with the passage of time.
Generate ESB ItemName:Raw Gemand it's \nDescription: ,"A gem of infused titanite. Forged the weapons of Lothric foot soldiers. Used in infusion to create Raw weapons. Raw weapons are easily wielded and have higher attack, but lose scaling effects."
Generate ESB ItemName:Refined Gemand it's \nDescription: ,"A gem of infused titanite. Forged in the weapons of Lothric knights. Used in infusion to create refined weapons. Refined weapons are difficult to wield properly, and scale effectively with strength"
Generate ESB ItemName:Repair Powderand it's \nDescription: ,Lightly enchanted golden powder. Repairs weapon equipped in right hand. Use of a weapon depletes its durability eventually rendering it ineffective. Repair Powder is a precious method of repair on the battlefield as it obviates the need for a Repairbox.
Generate ESB ItemName:Ritual Spear Fragmentand it's \nDescription: ,"A fragment of the matching ritual spears once held by the knights of Princess Filianore.>>They are the namesake of the Spears of the Church.>>When Spears of the Church face unduly treacherous foes, this allows them to draw upon former majesty, and summon a row of upward-thrusting ritual spears."
Generate ESB ItemName:Rotten Pine Resinand it's \nDescription: ,Rotten pine resin that has gained poison. Adds poison effect to Main-hand weapon. Hits with affected weapon build up enemy poison level. If enemy is poisoned damage will be inflicted for a period of time
Generate ESB ItemName:Rouge Waterand it's \nDescription: ,"Crimsons water of unknown origin.>>Restores HP and spell uses.>>Though known to some as red holy water, not everyone acknowledges its holy status."
Generate ESB ItemName:Rusted Coinand it's \nDescription: ,"An old rusted copper coin. Crushing the coin temporarily boosts luck. This rusted coin gives you that little extra bit of luck, making items and the like easier to find.>>The coin is engraved with the image of a god that was worshipped in ancient times, but no one knows its true origin."
Generate ESB ItemName:and it's \nDescription: ,
Generate ESB ItemName:Rusted Silver Coinand it's \nDescription: ,"A rusty old silver coin that surely is no currency. Crushing the coin gives a moderate, if temporary, boost to item discovery. A rich man lost his fortune, but it returned to him twofold. He was swift to squander his retrieved fortune, smugly confident that it was bound to double once again."
Generate ESB ItemName:Rusted Gold Coinand it's \nDescription: ,"A rusty old gold coin that surely has no currency.>>Crushing the coin gives a large, if temporary, boost to item discovery.>>A rich man lost his fortune, but it returned to him twofold. He was swift to squander his retrieved fortune, smugly confident that it was bound to double once again."
Generate ESB ItemName:Seed of a Tree of Giantsand it's \nDescription: ,"A lump of something, obtainable from a Giant-tree. Makes enemies react to invaders.>>When the giants fell, they grew into great trees. Death is not the end, for anything that has ever once lived remains a part of a great cycle of regeneration.>>But what of those outside of the cycle?"
Generate ESB ItemName:Sharp Gemand it's \nDescription: ,"A gem of infused titanite. Relics of land Lost between>>Used in infusion to create Sharp weapons.>>Sharp weapons gain 1 die of extra critical damage, and scale with dex"
Generate ESB ItemName:Shriving Stoneand it's \nDescription: ,A gem of infused titanite. Also known as stark stone.>>Reverses weapon infusion.>>Has the benefit of undoing the effects of infusion without reducing the reinforcement level.
Generate ESB ItemName:Siegbräuand it's \nDescription: ,Special brew of Siegward of Catarina. Perfect for travel in its jolly barrel mug.>>Restores HP and temporarily boosts frost resistance.>>Leave it to Siegward to discover a drink that even an Undead can enjoy. Perhaps his long years spent Undead have left him wanting to drain a cup or two and revel as if he were still among the living.
Generate ESB ItemName:Silver Talismanand it's \nDescription: ,"A tiny charm embedded with imitative magic. Use to transform into something to blend in.>>Use this talisman to hide from invaders. Only provides the most superficial camouflage, but sometimes that is enough to do the trick."
Generate ESB ItemName:Simple Gemand it's \nDescription: ,"A gem of infused titanite, said to be an object of infatuation for victims of stunted development.>>Used in infusion to create simple weapons.>>Simple weapons inflict magic damage and restore FP very gradually, to help even a simpleton muster some mettle."
Generate ESB ItemName:Skeptic's Spiceand it's \nDescription: ,"A spice exuding a peculiar aroma.>>A spell demands devotion from the caster, but using this spice makes a chosen spell attainable with 1 less faith. Will only work with the assistance of a certain person.>>The spice does not raise one's faith, but only obfuscates the requirement."
Generate ESB ItemName:Small Blue Burrand it's \nDescription: ,"A small blue burr.>>Temporarily boosts magic defense.>>These burrs bloom magnificently on a shrub>>every few years, their color and effect determined>>by soil quality and recent weather.>>Known to have been used in rituals long ago."
Generate ESB ItemName:Small Smooth & Silky Stoneand it's \nDescription: ,"A smooth and silky stone>>Use to slightly restore HP>>The shine of this stone is no ordinary polish,>>and can only be achieved over a long period.>>Some in this land are in search of such stones."
Generate ESB ItemName:Smelter Wedgeand it's \nDescription: ,"An iron wedge forged in this land. Destroys the ashen idol.>>The ashen idol is of great consequence to Nadalia, who, having renounced her flesh, entrusts her very being to it."
Generate ESB ItemName:Smooth & Silky Stoneand it's \nDescription: ,"A perfectly smooth and silky stone.>>Use to restore HP.>>The shine of this stone is no ordinary polish, and can only be achieved over a long period. Some in this land are in search of such mystical stones."
Generate ESB ItemName:Sniper Boltand it's \nDescription: ,Red feather bolts used with the Sniper Crossbow. Their long range makes them effective for sniping.
Generate ESB ItemName:Sniper Boltand it's \nDescription: ,"Red feathered bolts used by snipers of Carim. Their long range makes them ideal for distant targets. Though typically used with Sniper Crossbows in Carim, these arrows can still be used with any kind of crossbow."
Generate ESB ItemName:Soul Vesseland it's \nDescription: ,"A vessel that will accept your souls.>>It can allow reallocation of levels, but without proper assistance, it may simply drain you of souls.>>If you truly wish to start again, go to the place where your journey began."
Generate ESB ItemName:Splintering Boltand it's \nDescription: ,"Bolts that explode immediately after being shot. Makes unusual shots possible, and releases splinters that cause immense bleeding. These are, after all, prototypes created by the weapon craftsman Edmond. You get what you pay for."
Generate ESB ItemName:Stalk Dung Pieand it's \nDescription: ,"Dried fecal waste material, marked by a long plant stalk that was not properly digested.>>Throw behind at enemies to inflict toxin build-up, but also ups your own toxicity.>>Strictly speaking, this consists of different material than the dung pie, but waste is waste, no sense in splitting hairs."
Generate ESB ItemName:Standard Arrowand it's \nDescription: ,Standard arrow. Arrows must be equipped to be fired
Generate ESB ItemName:Standard Boltand it's \nDescription: ,Standard crossbow bolt. Used mainly with the Light Crossbow. Equip crossbow with a bolt to fire
Generate ESB ItemName:Sublime Bone Dustand it's \nDescription: ,"Charred, ashen bones.>>Cast them into the Far Fire in Majula to increase the HP restored with each use of your flask.>>They say these are the remains of a saint who cast himself into the bonfire. But we will never know for sure, for soot and ashes tell no story."
Generate ESB ItemName:Throwing Knifeand it's \nDescription: ,"Used as a projectile.>>This simple weapon is easily utilized. Its range is limited, and it deals very little damage, but even still, it is a valuable tool in the absence of other ranged weapons."
Generate ESB ItemName:Titanite Chunkand it's \nDescription: ,"Titanite chunk for weapon reinforcement. Reinforces weapons to +1 Few records of chunks exist, and once one was discovered in Lothric, the race to locate Legendary Slabs began, but there have been no reports of success."
Generate ESB ItemName:Titanite Scaleand it's \nDescription: ,"Titanite altered by a soul. Reinforces weapons to +3 Weapons forged by souls transposition can only be reinforced by titanite of the same kind. In rare cases, Crystal Lizards devour souls, growing to monstrous proportion and leaving these great scales."
Generate ESB ItemName:Transient Curseand it's \nDescription: ,Limb of the victim of a curse. Temporary curse allows engagement with ghosts. The only way to fight back against ghosts who are cursed beings is to become cursed oneself. The safest method however dreadfulis to cut off an arm of the dead
Generate ESB ItemName:Transposing Kilnand it's \nDescription: ,"An old transposing kiln from Courland, crafted with stitched crystal lizard hide>>Give to Ludleth, Lord of Cinder to conduct soul transposition. This kiln can transpose twisted souls to craft special items with their concentrated essence.>>Deemed forbidden by those unable to make proper use of it."
Generate ESB ItemName:Triclops Snake Trochesand it's \nDescription: ,Troches that exude the scent of rust.>>Temporarily boosts petrify resist.>>Verbal histories often mention Saint Elizabeth; her uniquely concocted medicines and potions are still widely used today.
Generate ESB ItemName:Twilight Herband it's \nDescription: ,"A grey herb that grows hidden among the rocky surfaces of tall mountains. Restores a certain amount of spell uses. There is no end to the scores of people who risk life and limb to forage for this valuable herb, which led to a banning of its harvest in some regions."
Generate ESB ItemName:Twin Humanitiesand it's \nDescription: ,Rare tiny black sprite found on corpses. Very unusual twin humanity. Use to gain 2 humanity and restore a large amount of HP. This black sprite is called humanity but little is known about its true nature. If the soul is the source of all life then what distinction is left for humanity?
Generate ESB ItemName:Twinkling Titaniteand it's \nDescription: ,"Twinkling titanite for weapon reinforcement.>>Reinforces weapons to +4>>These unique weapons cannot be reinforced with ordinary titanite, nor can they be infused.>>Unless one uses this twinkling titanite, which reinforces these weapons without unraveling their inherent strength."
Generate ESB ItemName:Twinkling Titaniteand it's \nDescription: ,A form of titanite with special power. Reinforce equipment that cannot normally be reinforced up to +5.>>What cosmic event could have created such a powerful class of titanite?
Generate ESB ItemName:Undead Hunter Charmand it's \nDescription: ,"Tool used to hunt down the Undead. Block Estus recovery within a limited area.>>Used long ago by Lloyd's cleric knights on their Undead hunts. Although Allfather Lloyd is long forgotten by the Way of White, his hunts have lived on, and this charm allows one to challenge Undead without fear of tenacious healing."
Generate ESB ItemName:Very Large Emberand it's \nDescription: ,Ember required for weapon ascension. Huge ember of highest quality. Handled by the blacksmiths of Astora
Generate ESB ItemName:Wilted Dusk Herband it's \nDescription: ,"A wilted and faded stalk of dusk herb.>>Restores a great deal of spell uses.>>A dusk herb in bloom works wonders, but will wilt in the blink of an eye. Needless to say, finding such an herb is of the utmost difficulty."
Generate ESB ItemName:Witching Urnand it's \nDescription: ,"A small clay urn filled with magic power. Explodes, inflicting magic damage.>>Created in Melfia, a land that flourishes with magic and pyromancy.>>Though the magic contained in the urn lacks potency, it is a boon to any inexperienced traveler."
Generate ESB ItemName:Wood Boltand it's \nDescription: ,"Basic wood bolt. These bolts do not fly particularly far, nor do they inflict a terrible amount of damage, but their cheap cost makes them useful when volume is required."
Generate ESB ItemName:Wooden Arrowand it's \nDescription: ,"Standard arrow. These arrows do not fly particularly far, nor do they inflict a terrible amount of damage, but their cheap cost makes them useful when volume is required."
Generate ESB ItemName:Young White Branchand it's \nDescription: ,"Branch of a young white birch received from a giant, apparently as a token of friendship.>>Become something that blends in to the surroundings. Consumed with use.>>Good friend, no hit."
Generate ESB ItemName:Alberich's robeand it's \nDescription: ,Set with red glintstones said to be formed by the blood of sacrifices.>>Strengthens thorn sorcery. Alberiches was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.
Generate ESB ItemName:ALBINAURIC MASKand it's \nDescription: ,"Made from the largely unaltered hide of a young Albinauric.>>Raises arcane, but reduces the HP recovery effects of the Flask of Crimson Tears.>>A far cry from godskin, this Albinauric hide mask is the product of malicious mockery."
Generate ESB ItemName:All-Knowing Helmand it's \nDescription: ,"Helm set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing.>>Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear.>>At the end that should not be"
Generate ESB ItemName:Alonne Captain Armorand it's \nDescription: ,"The accoutrements of the Alonne Knights, who served the Old Iron King, were created with an advanced crafting technique. They remain solid and handsomely crafted.>>The design is styled after the armor worn by an unusual knight who trained the Iron King's men in the sword. He was said to have deserted his liege after bearing witness to his descent into depravity"
Generate ESB ItemName:Alva Armorand it's \nDescription: ,"Light but offer very high defense. Alva crossed many a land in search of a cure for Saint Serreta's sickness, but failed and relinquished his knighthood.>>Alva was once wracked with guilt and remorse, but rediscovered his purpose in life with the aid of the witch who once plotted against him"
Generate ESB ItemName:Alva Armorand it's \nDescription: ,"Protection of Alva, seeker of the spurned. This armor was trimmed to reduce weight. To this day, troubadours sing of tales of the Wandering knight Alva and his travels, and of his involvement with the saint and the witch. Needless to say, the songs traditionally end in tragedy."
Generate ESB ItemName:Ancient King's Breastplateand it's \nDescription: ,The bronze breastplate of the demigod Old King Doran. There are Jewels inlaid in it
Generate ESB ItemName:Antiquated Dressand it's \nDescription: ,"A dress from the ancient fallen land of Oolacile. Its ivory-colored silk features elaborate embroidery and is imbued with ancient magic power. One cannot expect any physical protection from this garment, as it was not meant to be worn in battle"
Generate ESB ItemName:Antiquated Dressand it's \nDescription: ,"Dress sewn in a long-lost fashion. The elaborately embroidered, ivory-colored silk is imbued with ancient magic power. No protection is offered by this garment, as it was never intended for battle"
Generate ESB ItemName:Archdeacon White Crownand it's \nDescription: ,"White crown worn by an Archdeacon of the Cathedral of the Deep. Presented solely to delegates of the gods. A sign of the Way of White's highest rank. Of the three Archdeacons of the Deep, one cast off his white crown and left the cathedral to stand by Aldrich. One stood over Aldrich's casket, with hope that he would return one day. One attended to Rosaria, Mother of Rebirth, whom he deemed a goddess"
Generate ESB ItemName:Archdrake Robesand it's \nDescription: ,"Robes worn by the Archdrake sect of Lindelt. Little is known about the Archdrake sect and its ancient rituals, and those who dare to indulge their curiosity have been known to simply vanish.>>The Archdrake sect are the keepers of Lindelt's histories, including the only record of its foundation, a tome they have good reason to keep hidden away"
Generate ESB ItemName:Arianna's Shoesand it's \nDescription: ,Shoes worn by Arianna. woman of the night in the Cathedral Ward. Innocent and cute. in contrast with its owner.
Generate ESB ItemName:Aristocrat Garband it's \nDescription: ,"High quality garb adorned with fine golden embroidery.>>Travel attire worn by nobles in the capital. Terribly faded and tattered.>>Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life."
Generate ESB ItemName:Aristocrat's Maskand it's \nDescription: ,Mask worn by jailers of Irithyll Dungeon. Noblemen delighted in its plump features.
Generate ESB ItemName:Armor of Artoriasand it's \nDescription: ,"Armor of Artorias the Abysswalker, one of Gwyn's four knights. The death of the armor's owner can be surmised from the corrosive Dark of the Abyss, and the tattered azure-blue cape, once a symbol of pride and glory"
Generate ESB ItemName:Armor of Aurousand it's \nDescription: ,"Armor of kings of the desert land of Jugo. First worn by Aurous, the land's heroic founder. According to legend, the armor of Aurous is composed of a mysterious substance that cannot be seen by cowards. What do your eyes tell you?"
Generate ESB ItemName:Armor of the Forlornand it's \nDescription: ,"Armor of the Forlorn, who wander the land of the Undead. Born of Aldia's obsession with the First Sin, the Forlorn lost both their corporeal form and a world to call their own. Now they drift into other worlds, ever in search of a home. But without self, one has neither beginning nor end, and so the Forlorn have only to wander"
Generate ESB ItemName:Armor of the Gloriousand it's \nDescription: ,"Strange armor from the ancient land of Zena, birthplace of the curious dealer Domhnall. The many medals are believed to symbolize glory"
