Name,Rarity,Type,Lore,Attunement,Weight,Properties,Effects,Value
Jewel of Three Prayers (Dormant),legendary,wondrous item,The Jewel of Three Prayers is a powerful artifact that was once used by a powerful cleric to perform three prayers at once. The jewel is dormant and can only be activated by a powerful cleric who is able to channel the power of the gods.,requires attunement,,,"The Jewel of Three Prayers is a Vestige of Divergence (see the ""Vestiges of Divergence"" sidebar). In ancient times, Alyxian the Apotheon bore this amulet as a symbol of his covenant with three Prime Deities  Sehanine the Moon Weaver, Avandra the Change Bringer, and Corellon the Arch Heart. When the jewel is found, only Sehanine's power thrums within its dormant heart. The power of the other two deities waits to be reawakened by a hero—or heroes—who can follow in Alyxian's footsteps. Dormant State. In this state, the Jewel of Three Prayers is a glittering golden disk attached to a fine golden chain. The chain magically resizes to function as a necklace for the creature that wears it.In its Dormant State, the jewel has the following properties You gain a +1 bonus to AC while wearing the jewel.While wearing or holding the jewel, you can use an action to cause it to shed bright light in a 15-foot radius and dim light for an additional 15 feet. The light lasts until you extinguish it (no action required).The jewel has 3 charges and regains all its expended charges daily at dawn. While holding the jewel, you can expend 1 charge from it to cast the invisibility spell.",
Jewel of Three Prayers (Exalted),legendary,wondrous item,"The Jewel of Three Prayers is a powerful artifact that was created by the god of luck, Boccob. The jewel is said to be able to grant its wearer three wishes, and is said to be the most powerful item in the world.",requires attunement,,,"The Jewel of Three Prayers is a Vestige of Divergence (see the ""Vestiges of Divergence"" sidebar). In ancient times, Alyxian the Apotheon bore this amulet as a symbol of his covenant with three Prime Deities  Sehanine the Moon Weaver, Avandra the Change Bringer, and Corellon the Arch Heart. When the jewel is found, only Sehanine's power thrums within its dormant heart. The power of the other two deities waits to be reawakened by a hero—or heroes—who can follow in Alyxian's footsteps. Dormant State. In this state, the Jewel of Three Prayers is a glittering golden disk attached to a fine golden chain. The chain magically resizes to function as a necklace for the creature that wears it.In its Dormant State, the jewel has the following properties You gain a +1 bonus to AC while wearing the jewel.While wearing or holding the jewel, you can use an action to cause it to shed bright light in a 15-foot radius and dim light for an additional 15 feet. The light lasts until you extinguish it (no action required).The jewel has 3 charges and regains all its expended charges daily at dawn. While holding the jewel, you can expend 1 charge from it to cast the invisibility spell. Awakened State. In this state, the jewel has received the blessing of Avandra the Change Bringer. Three delicate spires unfurl from the jewel's center, like the buds of flowers opening in the spring. Three lapis lazuli stones rest like dewdrops on these spires.The following benefits of the jewel improve The bonus that the jewel confers to your AC increases to +2.Its number of charges increases to 5.The jewel gains the following additional properties, which you can use while wearing or holding it You can expend 1 of the jewel's charges (no action required) to end one of the following conditions on yourself  grappled, paralyzed, or restrained.When another creature you can see within 60 feet of you fails a saving throw, you can expend 1 of the jewel's charges as a reaction to enable that creature to reroll the saving throw, potentially turning a failure into a success. The creature must use the new roll. Exalted State. In this state, the jewel has received the blessing of Corellon the Arch Heart. A gleaming emerald surrounded by a halo of gold appears on the jewel.The following benefits of the jewel improve The bonus that the jewel confers to your AC increases to +3.Its number of charges increases to 7.The jewel gains the following additional properties, which you can use while wearing or holding it You gain the ability to breathe water, and you gain a swimming speed equal to your walking speed.Each of your allies within 30 feet of you gains the ability to breathe water and gains a swimming speed equal to its walking speed.As a bonus action, you can expend 1 of the jewel's charges to target yourself or one willing creature you can see within 15 feet of yourself. The target teleports to an unoccupied space of your choice within 15 feet of yourself, along with any equipment the target is wearing or carrying. The target appears in a flash of golden radiance, and each creature of your choice within 5 feet of the target's new location must make a DC 18 Constitution saving throw. On a failed save, the creature takes 4d10 radiant damage and is blinded until the start of your next turn. On a successful save, the creature takes half as much damage and isn't blinded.",
Jeweler's Tools,Mundane,Artisan's Tools,"The Jeweler's Tools are a set of tools used by jewelers to cut and polish gems. They include a set of diamond cutters, a set of jeweler's saws, a set of jeweler's hammers, and a set of jeweler's tongs.",,2 lb.,,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Training with jeweler's tools includes the basic techniques needed to beautify gems. It also gives you expertise in identifying precious stones. Components. Jeweler's tools consist of a small saw and hammer, files, pliers, and tweezers. Arcana. Proficiency with jeweler's tools grants you knowledge about the reputed mystical uses of gems. This insight proves handy when you make Arcana checks related to gems or gem-encrusted items. Investigation. When you inspect jeweled objects, your proficiency with jeweler's tools aids you in picking out clues they might hold. Identify Gems. You can identify gems and determine their value at a glance.Jeweler's ToolsActivityDCModify a gem's appearance15Determine a gem's history20See the Tool Proficiencies entry for more information.",25 gp
Jug,Mundane,adventuring gear,"A jug is a common container used to store liquids. Jugs can be made from a variety of materials, including pottery, metal, and glass. Jugs are often decorated with a design or inscription.",,4 lb.,,A jug holds 1 gallon of liquid.,2 cp
Junky +1 Dagger,unknown (magic),"dagger, simple melee weapon","This is a crude, but effective dagger. It is made of junky materials, but it is still a deadly weapon.",,1 lb.,"1d4, piercing, - finesse, light, thrown (20/60 ft.)","You have a +1 bonus to attack and damage rolls made with this dagger, which looks like junk. When it is used, its grip frays, its blade chips, and it flakes rust. If you get a natural 1 on an attack roll while wielding this weapon, it breaks and becomes nonmagical. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property.",
Keelboat,Mundane,Vehicle,"The keelboat is a sturdy, seaworthy vessel that is used for both recreational and commercial purposes. It is typically made from wood, with a flat bottom and a pointed bow. The keelboat is able to navigate through choppy waters and is ideal for exploring new areas.",,,"Speed  1 mphCarrying Capacity  1/2 ton cargo, 6 passengersCrew 1, AC 15, HP 100, Damage Threshold 10","Keelboats and rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. Crew. A ship needs a crew of skilled hirelings to function. As per the Player's Handbook, one skilled hireling costs at least 2 gp per day. The minimum number of skilled hirelings needed to crew a ship depends on the type of vessel.You can track the loyalty of individual crew members or the crew as a whole using the optional loyalty rules in chapter 4 of the Dungeon Master's Guide. If at least half the crew becomes disloyal during a voyage, the crew turns hostile and stages a mutiny. If the ship is berthed, disloyal crew members leave the ship and never return. Passengers. This indicates the number of Small and Medium passengers the ship can accommodate.Accommodations consist of shared hammocks in tight quarters. A ship outfitted with private accommodations can carry one-fifth as many passengers.A passenger is usually expected to pay 5 sp per day for a hammock, but prices can vary from ship to ship. A small private cabin usually costs 2 gp per day. Cargo. The maximum tonnage the ship can carry. Damage Threshold. If a ship has a Damage Threshold, it has immunity to all damage unless it takes an amount of damage equal to or greater than its damage threshold, in which case it takes damage as normal. Any damage that fails to meet or exceed the damage threshold is considered superficial and doesn't reduce the ship's hit points. Ship Repair. Repairs to a damaged ship can be made while the vessel is berthed. Repairing 1 hit point of damage requires 1 day and costs 20 gp for materials and labor.","3,000 gp"
Keoghtom's Ointment,uncommon,wondrous item,"Keoghtom's Ointment is a powerful healing ointment that was created by Keoghtom, a powerful cleric of the god Sarenrae. The ointment is said to be able to heal any wound, no matter how deep, and is especially effective against undead.",,,,"This glass jar, 3 inches in diameter, contains 1d4 + 1 doses of a thick mixture that smells faintly of aloe. The jar and its contents weigh ½ pound.As an action, one dose of the ointment can be swallowed or applied to the skin. The creature that receives it regains 2d8 + 2 hit points, ceases to be poisoned, and is cured of any disease.",
Keycharm,common,wondrous item,"The Keycharm is a magical item that allows the user to open any door or container they have seen or heard of before. It is said to have been created by the god of doors, Kharas.",requires attunement by a creature with the Mark of Warding,,,"This small stylized key plays a vital role in the work of House Kundarak. If you cast the alarm, arcane lock, or glyph of warding spell, you can tie the effect to the keycharm so that whoever holds it receives the notification from the alarm spell, bypasses the lock of the arcane lock spell, or avoids triggering the glyph placed by the glyph of warding spell. In addition, the holder (who needn't be attuned to the item) can take an action to end any one spell tied to it, provided the holder knows the command word you set for ending the tied spells. The keycharm can have up to three tied spells at one time.",
"Khrusor, Spear of Heliod",artifact,"spear, simple melee weapon","The Khrusor, Spear of Heliod is a powerful artifact wielded by the god Heliod. The spear is said to be able to pierce through any defense and deal devastating damage to its target.",requires attunement,3 lb.,"1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","Heliod wields Khrusor, a spear blessed with the power of the sun. In his hands, it can be pitched from Nyx to any point on Theros. When Heliod lends his weapon to a mortal, it's typically so they can perform some great work in his name or as a test of their worthiness. Spear of the Sun. This spear grants a +3 bonus to attack and damage rolls made with it. When you hit with an attack using this spear, the target takes an extra 2d8 radiant damage. Blessing of the Sun. If you are a worshiper of Heliod, you gain all the following benefits for which you have the required piety Piety 3+. You gain 15 temporary hit points each dawn.Piety 10+. The spear has 1 randomly determined minor beneficial property.Piety 25+. The spear has 1 additional randomly determined minor beneficial property.Piety 50+. The spear has 1 randomly determined major beneficial property.If you aren't a worshiper of Heliod, the spear has 2 randomly determined major detrimental properties.See ""Artifacts"" in chapter 7 of the Dungeon Master's Guide for details on randomly determined properties. Luminous. The spear sheds bright light in a 30-foot radius and dim light for an additional 30 feet. The light is sunlight. Sun's Retaliation. When you take damage from a creature within 5 feet of you, you can use your reaction to make a melee attack with the spear against that creature. On a hit, the spear deals damage as normal, and the creature is blinded until the start of its next turn. This property of the spear can't be used again until the next dawn. Spells. The spear has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells (save DC 18) from it  guiding bolt (1 charge), daylight (3 charges, targeting the tip of the spear only), sunbeam (6 charges). The spear regains 1d6 + 4 expended charges daily at dawn. Destroying the Spear. If taken to Erebos's palace in Tizerus, and used to sacrifice a champion of Heliod to Erebos, Khrusor is either destroyed or fundamentally twisted to Erebos's service. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.",
Knave's Eye Patch,rare,wondrous item,The Knave's Eye Patch is a magical item that allows the wearer to see in the dark.,requires attunement,,,"While wearing this eye patch, you gain these benefits You have advantage on Wisdom (Perception) checks that rely on sight.If you have the Sunlight Sensitivity trait, you are unaffected by the trait.You are immune to magic that allows other creatures to read your thoughts or determine whether you are lying. Creatures can communicate telepathically with you only if you allow it.",
Korolnor Scepter,legendary,"club, simple melee weapon",The Korolnor Scepter is a magical staff that is said to be able to grant its wielder great power. The staff is said to be made from the wood of a magical tree that only grows on the edge of the world. The tree is said to be guarded by a dragon that only allows those who are worthy to take the staff from its branches.,requires attunement,2 lb.,"1d4, bludgeoning, - light","The Korolnor Scepter is one of ten Ruling Scepters of Shanatar, forged by the dwarven gods and given to the ruling houses of the ancient dwarven empire. The Korolnor Scepter's location was unknown for the longest time until a storm giant queen, Neri, found it in a barnacle-covered shipwreck at the bottom of the Trackless Sea. The Ruling Scepters are all roughly the same size and shape, but their materials and properties vary.The Korolnor Scepter is a tapered mithral rod as thick and long as a dwarf's forearm, with a small platinum knob at the bottom and a rounded disk adorned with a ring of seven tiny blue gems at the top.You gain a +3 bonus to attack and damage rolls made with this scepter, which can be wielded as a magic club.You can use the properties of the Wyrmskull Throne, as well as the properties of the scepter itself. The scepter has 10 charges, and it regains 1d6 + 4 expanded charges at dawn. Its properties are as follows If you are underground or underwater, you can use an action to expend 1 charge to determine the distance to the surface.As an action  you can expend 2 charges to cast the sending spell from the scepter.As an action  you can expend 3 charges to cast the teleport spell from the scepter. If the destination is within 60 feet of the Wyrmskull Throne, there is no chance of a teleport error or mishap occurring. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons.",
Kyrzin's Ooze,very rare,wondrous item,Kyrzin's Ooze is a viscous green liquid that is said to be the product of Kyrzin the Mad Alchemist. Kyrzin's Ooze is said to be a powerful mutagen that can transform creatures into horrific monstrosities.,requires attunement,,,"This opalescent, symbiotic goo comes sealed in a jar and slowly shifts and moves, as if endlessly exploring the jar's interior. To attune to this item, you must first drink the contents of the jar, unlocking the following properties. Resistant. While attuned to Kyrzin's ooze, you have resistance to poison and acid damage, and you're immune to the poisoned condition. Amorphous. As an action, you can speak a command word and cause your body to assume the amorphous qualities of an ooze. For the next minute, you (along with any equipment you're wearing or carrying) can move through a space as narrow as 1 inch wide without squeezing. Once you use this property, it can't be used again until the next dawn. Acid Breath. As an action, you can exhale acid in a 30-foot line that is 5 feet wide. Each creature in that line must make a DC 15 Dexterity saving throw, taking 36 (8d8) acid damage on a failed save, or half as much damage on a successful one. Once you use this property, it can't be used again until the next dawn. Symbiotic Nature. The ooze can't be removed from you while you're attuned to it, and you can't voluntarily end your attunement to it. If you're targeted by a spell that ends a curse, your attunement to the ooze ends, as it seeps out of you.If you die while the ooze is inside you, it bursts out and engulfs you, turning your corpse into a black pudding allied with the daelkyr.",
Ladder (10-foot),Mundane,adventuring gear,"A ladder is a sturdy, portable platform used for ascending and descending. It is typically composed of two or more horizontal bars, with a rung or steps at each level.",,25 lb.,,Ladder (10-foot),1 sp
Lamp,Mundane,adventuring gear,"The lamp is a magical item used to light dark places. It is made of a clear, glass or crystal container with a wick or flame inside. The lamp can be carried in the hand or hung from a cord.",,1 lb.,,"A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",5 sp
Lance,Mundane, martial melee weapon,"The Lance is a versatile weapon that can be used for both melee and ranged combat. It is a long, thin pole with a sharp point at one end and a round, blunt end at the other.",,6 lb.,"1d12, piercing, - reach, special"," Special. You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon.",10 gp
Lantern of Revealing,uncommon,wondrous item,"The Lantern of Revealing is a magical item that allows its bearer to see the true form of any creature within a 60-foot radius. This ability functions like the spell see invisibility, except that the creature's true form is revealed, not just its shape. The Lantern of Revealing can also be used to see through illusions, as if the creature were not there.",,2 lb.,,"While lit, this hooded lantern burns for 6 hours on 1 pint of oil, shedding bright light in a 30-foot radius and dim light for an additional 30 feet. Invisible creatures and objects are visible as long as they are in the lantern's bright light. You can use an action to lower the hood, reducing the light to dim light in a 5-foot radius.",
Lantern of Tracking,common,wondrous item,The Lantern of Tracking is a magical item that allows its user to track creatures and objects.,,,,"This hooded lantern burns for 6 hours on 1 pint of oil, shedding bright light in a 30-foot radius and dim light for an additional 30 feet.Each lantern of tracking is designed to track down a certain type of creature, which is determined by rolling on the Lantern of Tracking table. Once determined, this creature type can't be changed. While the lantern is within 300 feet of any creature of that type, its flame turns bright green. The lantern doesn't pinpoint the creature's exact location, however.Lantern of Tracking1d10Creature Type1Aberrations2Celestials3Constructs4Dragons5Elementals6Fey7Fiends8Giants9Monstrosities10Undead",
Lash of Shadows,artifact,"whip, martial melee weapon","The Lash of Shadows is a magical item that was created by a powerful wizard. The lash is a long, black cord with a silver clasp. The clasp can be opened or closed with a simple gesture. When closed, the clasp is hidden inside the cord. The lash can be used to bind someone's hands and feet. The cord can also be used to strangle someone.",requires attunement,3 lb.,"1d4, slashing, - finesse, reach","This snakeskin whip is touched by the power of Zehir and ends in five animated serpent heads. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon.Multiple variations of this item exist, as listed below Lash of Shadows (Dormant)Lash of Shadows (Awakened)Lash of Shadows (Exalted)",
Lash of Shadows (Awakened),artifact,"whip, martial melee weapon","The Lash of Shadows is a magical item that was created by an unknown wizard. The lash is a black whip with a silver handle. The lash has the ability to cloak its wielder in shadows, making them difficult to see.",requires attunement,3 lb.,"1d4, slashing, - finesse, reach","This snakeskin whip is touched by the power of Zehir and ends in five animated serpent heads. Sentience. The Lash of Shadows is a sentient chaotic evil weapon with an Intelligence of 18, a Wisdom of 16, and a Charisma of 20. It has hearing and darkvision out to a range of 120 feet.The weapon communicates telepathically with its wielder and can speak, read, and understand Abyssal, Common, and Draconic. Personality. A mad marilith named Sizlifeth lives within the Lash of Shadows. The weapon has a short temper and experiences only extreme emotions. It is most happy when dealing harm. Dormant. The whip grants the following benefits in its dormant state You can speak, read, and write Abyssal and Draconic.You gain a +1 bonus to attack and damage rolls made with this magic weapon.You can attempt to poison any creature that is hit by the whip. The creature must succeed on a DC 13 Constitution saving throw or suffer the effect of one of the following poisons of your choice; once a poison other than Serpent Venom has been used, that poison can't be used again until the next dawn Dead Eyes. A creature that fails the saving throw against this poison is poisoned for 1 hour. While poisoned in this way, the creature is blinded.Serpent Venom. A creature that fails the saving throw against this poison takes 3d6 poison damage, or half as much damage on a successful save.Betrayer Artifact Properties[–]The Arms of the Betrayers advance in power in the same manner as the Vestiges of Divergence. In its dormant state, each of these artifacts has one minor beneficial property and one minor detrimental property. When the artifact attains an awakened state, it gains an additional minor beneficial property and an additional minor detrimental property. When the item reaches its exalted state, it gains a major beneficial property. See ""Artifact Properties"" in chapter 7 of the Dungeon Master's Guide for more information. Awakened. When the whip reaches an awakened state, it gains the following properties The weapon's bonus to attack and damage rolls increases to +2.The saving throw DC for the weapon's poisons increases to 15.The weapon gains a new poison option called Ghoul's Blood. A creature that fails the saving throw against this poison is poisoned for 1 minute. While poisoned in this way, the creature is paralyzed. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon.",
Lash of Shadows (Dormant),artifact,"whip, martial melee weapon","The Lash of Shadows is a magical item that was once used by a powerful wizard to bind his enemies in darkness. The lash can be used to temporarily blind or paralyze enemies, making them vulnerable to attack.",requires attunement,3 lb.,"1d4, slashing, - finesse, reach","This snakeskin whip is touched by the power of Zehir and ends in five animated serpent heads. Sentience. The Lash of Shadows is a sentient chaotic evil weapon with an Intelligence of 18, a Wisdom of 16, and a Charisma of 20. It has hearing and darkvision out to a range of 120 feet.The weapon communicates telepathically with its wielder and can speak, read, and understand Abyssal, Common, and Draconic. Personality. A mad marilith named Sizlifeth lives within the Lash of Shadows. The weapon has a short temper and experiences only extreme emotions. It is most happy when dealing harm. Dormant. The whip grants the following benefits in its dormant state You can speak, read, and write Abyssal and Draconic.You gain a +1 bonus to attack and damage rolls made with this magic weapon.You can attempt to poison any creature that is hit by the whip. The creature must succeed on a DC 13 Constitution saving throw or suffer the effect of one of the following poisons of your choice; once a poison other than Serpent Venom has been used, that poison can't be used again until the next dawn Dead Eyes. A creature that fails the saving throw against this poison is poisoned for 1 hour. While poisoned in this way, the creature is blinded.Serpent Venom. A creature that fails the saving throw against this poison takes 3d6 poison damage, or half as much damage on a successful save.Betrayer Artifact Properties[–]The Arms of the Betrayers advance in power in the same manner as the Vestiges of Divergence. In its dormant state, each of these artifacts has one minor beneficial property and one minor detrimental property. When the artifact attains an awakened state, it gains an additional minor beneficial property and an additional minor detrimental property. When the item reaches its exalted state, it gains a major beneficial property. See ""Artifact Properties"" in chapter 7 of the Dungeon Master's Guide for more information. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon.",
Lash of Shadows (Exalted),artifact,"whip, martial melee weapon","The Lash of Shadows is a magical item that was created by the goddess Mystra. The lash is a long, black cord with a silver clasp. When worn around the neck, the lash can be used to create a shadow puppet that can be controlled by the wearer. The shadow puppet can be used to attack or defend the wearer's allies.",requires attunement,3 lb.,"1d4, slashing, - finesse, reach","This snakeskin whip is touched by the power of Zehir and ends in five animated serpent heads. Sentience. The Lash of Shadows is a sentient chaotic evil weapon with an Intelligence of 18, a Wisdom of 16, and a Charisma of 20. It has hearing and darkvision out to a range of 120 feet.The weapon communicates telepathically with its wielder and can speak, read, and understand Abyssal, Common, and Draconic. Personality. A mad marilith named Sizlifeth lives within the Lash of Shadows. The weapon has a short temper and experiences only extreme emotions. It is most happy when dealing harm. Dormant. The whip grants the following benefits in its dormant state You can speak, read, and write Abyssal and Draconic.You gain a +1 bonus to attack and damage rolls made with this magic weapon.You can attempt to poison any creature that is hit by the whip. The creature must succeed on a DC 13 Constitution saving throw or suffer the effect of one of the following poisons of your choice; once a poison other than Serpent Venom has been used, that poison can't be used again until the next dawn Dead Eyes. A creature that fails the saving throw against this poison is poisoned for 1 hour. While poisoned in this way, the creature is blinded.Serpent Venom. A creature that fails the saving throw against this poison takes 3d6 poison damage, or half as much damage on a successful save.Betrayer Artifact Properties[–]The Arms of the Betrayers advance in power in the same manner as the Vestiges of Divergence. In its dormant state, each of these artifacts has one minor beneficial property and one minor detrimental property. When the artifact attains an awakened state, it gains an additional minor beneficial property and an additional minor detrimental property. When the item reaches its exalted state, it gains a major beneficial property. See ""Artifact Properties"" in chapter 7 of the Dungeon Master's Guide for more information. Awakened. When the whip reaches an awakened state, it gains the following properties The weapon's bonus to attack and damage rolls increases to +2.The saving throw DC for the weapon's poisons increases to 15.The weapon gains a new poison option called Ghoul's Blood. A creature that fails the saving throw against this poison is poisoned for 1 minute. While poisoned in this way, the creature is paralyzed. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Exalted. When the whip reaches an exalted state, it gains the following additional properties The weapon's bonus to attack and damage rolls increases to +3.The saving throw DC for the weapon's poisons increases to 17.The weapon gains a new poison option called Cockatrice Tears. A creature that fails the saving throw against this poison begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified for 24 hours. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon.",
Last Stand Armor,very rare,enchantment,The Last Stand Armor is a suit of armor that was designed to protect its wearer from the most extreme conditions. The suit is made from a durable metal alloy that is resistant to both fire and ice. The armor also features a thick layer of insulation that helps to keep the wearer warm in cold climates and cool in hot climates.,,,,"You have a +1 bonus to AC while wearing this armor, which shimmers softly.If you die while wearing the armor, it is destroyed, and each celestial, fey, and fiend with 30 feet of you must succeed on a DC 15 Charisma saving throw or be banished to its home plane of existence, unless it is already there. ",
Leather Armor,Mundane,light armor,"Leather armor is a type of armor made from the skin of a cow, goat, or other animal. It is strong and flexible, but not as protective as metal armor.",,10 lb.,AC 11 + Dex,The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.,10 gp
Leatherworker's Tools,Mundane,Artisan's Tools,"The Leatherworker's Tools are a set of tools used by leatherworkers. They include a hammer, an anvil, a chisel, and a knife.",,5 lb.,,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Knowledge of leatherworking extends to lore concerning animal hides and their properties. It also confers knowledge of leather armor and similar goods. Components. Leatherworker's tools include a knife, a small mallet, an edger, a hole punch, thread, and leather scraps. Arcana. Your expertise in working with leather grants you added insight when you inspect magic items crafted from leather, such as boots and some cloaks. Investigation. You gain added insight when studying leather items or clues related to them, as you draw on your knowledge of leather to pick out details that others would overlook. Identify Hides. When looking at a hide or a leather item, you can determine the source of the leather and any special techniques used to treat it. For example, you can spot the difference between leather crafted using dwarven methods and leather crafted using halfling methods.Leatherworker's ToolsActivityDCModify a leather item's appearance10Determine a leather item's history20See the Tool Proficiencies entry for more information.",5 gp
Libram of Souls and Flesh,rare,wondrous item,"The Libram of Souls and Flesh is a tome that details the creation and use of undead. It is said to be the work of a powerful necromancer, and is said to be the key to creating powerful undead.",requires attunement by a wizard,3 lb.,,"With covers made of skin and fittings of bone, this tome is cold to the touch, and it whispers faintly. When found, the book contains the following spells, which are wizard spells for you while you are attuned to the book  animate dead, circle of death, false life, finger of death, speak with dead, summon undead, and vampiric touch. It functions as a spellbook for you.While you are holding the book, you can use it as a spellcasting focus for your wizard spells.The book has 3 charges, and it regains 1d3 expended charges daily at dawn. You can use the charges in the following ways while holding it If you spend 1 minute studying the book, you can expend 1 charge to replace one of your prepared wizard spells with a different spell in the book. The new spell must be of the necromancy school.As an action, you can expend 1 charge to take on a semblance of undeath for 10 minutes. For the duration, you take on a deathly appearance, and undead creatures are indifferent to you, unless you have damaged them. You also appear undead to all outward inspection and to spells used to determine the target's status. The effect ends if you deal damage or force a creature to make a saving throw.",
Lifewell Tattoo,very rare,wondrous item tattoo,The Lifewell Tattoo is a magical tattoo that can heal any wound within a few minutes. It is said to have been created by a goddess who wished to end the bloodshed of war.,requires attunement,,,"Produced by a special needle, this magic tattoo features symbols of life and rebirth. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Necrotic Resistance. You have resistance to necrotic damage. Life Ward. When you would be reduced to 0 hit points, you drop to 1 hit point instead. Once used, this property can't be used again until the next dawn.",
Light Crossbow,Mundane," range, simple weapon",The Light Crossbow is a crossbow that emits a bright light that can be used to illuminate dark areas or to signal allies.,,5 lb.,"1d8, piercing, - ammunition (80/320 ft.), loading, two-handed"," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it.",25 gp
Light Hammer,Mundane, simple melee weapon,The Light Hammer is a magical weapon that is used to strike a foe with a powerful blow. It is made of pure light and is able to cut through even the strongest of armor.,,2 lb.,"1d4, bludgeoning, - light, thrown (20/60 ft.)"," Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property.",2 gp
