Prompt,Completion,,
Generate ESB ItemName:Hierodas Glintstone Crownand it's \nDescription:,One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence and endurance to the detriment of FP. The crown of Hierodas was granted to scholars who engaged in nomadic study away from the academy.,,
Generate ESB ItemName:High Page Hoodand it's \nDescription:,Hood of a page selected for special privilege by the noble they serve. The unassuming sack-like appearance benefits their unseen and unknown stature.,,
Generate ESB ItemName:Highwayman Cloth Armorand it's \nDescription:,Hideously stained and ragged cloth armor. Worn by former foot soldiers who have turned to banditry.,,
Generate ESB ItemName:Hollow Infantry Armorand it's \nDescription:,"Armor worn by Hollowed infantry. A piece of basic, minimal equipment. Worse yet, they're worn and nearly falling apart. Not recommended unless your options are spent.",,
Generate ESB ItemName:Hollow Soldier Armorand it's \nDescription:,"Apparel worn by Hollow soldiers. It may be old and battered, but its iron construction makes it quite sturdy. It is wise to wear a sturdy form of head protection against arrows and other physical threats. It is so tattered that it barely serves its purpose anymore",,
Generate ESB ItemName:Hollow Soldier Armorand it's \nDescription:,"armor, worn by Hollowed Royal Soldiers. Appears to be crafted with quality materials, but is highly degraded and close to falling apart. Wearing this will be of little use.",,
Generate ESB ItemName:Hollow Thief's Leather Armorand it's \nDescription:,Leather armor worn by Hollow thieves. It stifles noise and helps its wear hide in the shadows,,
Generate ESB ItemName:Hollow Warrior Armorand it's \nDescription:,"Armor worn by Hollow warriors. It is made of thick leather that is tattered with age, It is wise to wear a sturdy form of protection against arrows and other physical threats.",,
Generate ESB ItemName:Holy Robeand it's \nDescription:,"Robe donned by men of the cloth. Though plain to the eye, its hardy fabric repels rain and keeps the body warm. Those dissatisfied with church teachings must test their faith by going on a spiritual journey. Such is the ritual self-purification of the Way of White. Topped by a Distinctive hat worn only by Way of White priests in Thorolund. It is simply meant to show their position within the hierarchy. It holds almost no meaning in the land of Lordran.",,
Generate ESB ItemName:Hoslow's Armorand it's \nDescription:,"Garish silver armor decorated with red embellishments. Passed down through the Hoslow family. When Juno Hoslow received an invitation to the Volcano Manor, he discreetly refused. I have already walked many a road drenched in blood, yet never would I consider myself a champion.",,
Generate ESB ItemName:Hoslow's Helmand it's \nDescription:,"A twin-tailed silver helm decorated with flowery adornments. Symbol of the head of the revered House of Hoslow. Juno Hoslow had a younger brother who was all talk and no trousers. His inability to commit to action was such that Juno inherited the Hoslow legacy without resistance, granting him the freedom to shower his little brother with adoration.",,
Generate ESB ItemName:Hunter Garband it's \nDescription:,"One of the standard articles of hunter attire fashioned at the workshop, this one without the cape that wipes away blood. A fine piece of hunter attire that provides stable defence to anyone facing Yharnam's beastly threat. Allows one to stalk beasts unannounced, by cover of night.",,
Generate ESB ItemName:Hunter Hatand it's \nDescription:,"One of the standard articles of hunter attire fashioned at the workshop. A fine piece of hunter attire that provides stable defence to anyone facing Yharnam's beastly threat. Recognizable by its withered feathers, this cap is fashioned after one of the old hunters.",,
Generate ESB ItemName:Imperious Armorand it's \nDescription:,"Helmet/Armor/Gauntlets,Leggings worn by once-proud knights. Relics of a party who long ago attempted to conquer the Undead Crypt. For this act of conceit they will never rest in peace, and instead serve as crypt guardians.",,
Generate ESB ItemName:Insolent Armorand it's \nDescription:,"Armor worn by once-proud clerics. Relics of a party who long ago attempted to conquer the Undead Crypt. For this sin their deaths have been postponed, so they may serve as crypt sentries",,
Generate ESB ItemName:Iron Kasaand it's \nDescription:,"Iron kasa of the man who calls himself Shabriri. Crafted to imitate the woven straw hats worn in the Land of Reeds. The man, once known as Yura, kept a woman in the deepest reaches of his heart.",,
Generate ESB ItemName:Ironclad Armorand it's \nDescription:,"Armor worn by Ironclad Soldiers. Provides high defense, but is so heavy that it requires great strength to move. The Ironclad Soldiers were minions created by the Old Iron King, their life granted by an enchantment of souls. By now this is again an iron husk, and fit to wear. Once, the Old King could have unraveled the greater mysteries with the aid of his great soul, but he was led astray by his enormous fortune, becoming nothing more than a vulgar hedonist",,
Generate ESB ItemName:Jailer Robeand it's \nDescription:,"Robe worn by jailers of Irithyll Dungeon. Originally ritualistic formal wear. The jailers were among the few survivors inhabiting the Profaned Capital, later serving under Pontiff Sulyvahn. Perhaps the screams emanating from the cells help them forget their old home.",,
Generate ESB ItemName:Jester's Robesand it's \nDescription:,"A boldly-colored jester's cap/robe/gloves/tights. A nice bit of fun to try on... Jesters are more than festival fixtures; some have a second face, hidden from public view.",,
Generate ESB ItemName:Juvenile Scholar Robeand it's \nDescription:,"Robe worn by young academy scholars, the juveniles birthed anew by the amber egg of Queen Rennala, the head of Raya Lucaria Academy. Yet their rebirth is not without imperfections, and thus do they repeat the process, eventually becoming utterly dependent upon it. Rebirth is as sleep to them, and with each awakening, memory fades into oblivion.",,
Generate ESB ItemName:Kaiden Armorand it's \nDescription:,"Armor worn by Kaiden sellswords. These hulking, fearless mercenaries, said to hail from the mountaintops of the wintry north, are adept at fighting on horseback. Kaiden is the name of their home settlement.",,
Generate ESB ItemName:Karla's Coatand it's \nDescription:,"Cloak of the dark witch Karla. A pointed hat is the signature of a heretical sorceress. Karla, however always kept it close. This stained (Piece Name) is torn and odorous, telling of a long journey and even longer imprisonment. It would be madness to wear such a thing.",,
Generate ESB ItemName:Karolos Glintstone Crownand it's \nDescription:,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence to the detriment of stamina. The Karolos Conspectus is the oldest of the academy's lineages of study, begat by the sorcerer Azur. Scholars who follow in his footsteps pursue the mysteries of comets.",,
Generate ESB ItemName:Khaki Haoriand it's \nDescription:,"Garb of a distant Eastern land, worn by Yamamura the Wanderer. This Eastern warrior pursued a beast for honourable revenge, then became a hunter of the League. But when he stared straight into impurity, it drove him mad.",,
Generate ESB ItemName:King's Armorand it's \nDescription:,"An old armor that is oddly comfortable. Belonged to a King. What makes a king? Some say that it is a birthright, while others call it destiny. Perhaps it is not important, as long as the king's name serves to unite his people",,
Generate ESB ItemName:Knight Armorand it's \nDescription:,"Armor equipment of a lower a rank knight. Despite the thin metal used, the grooved texture gives them added protection",,
Generate ESB ItemName:Knight Armorand it's \nDescription:,"(Armor piece) of a lowly knight, fashioned from solid iron. This/these (armor piece) might be on the heftier side compared to others of their ilk, but as such offer great physical absorption in exchange for its/their imposing weight. Do not think to wear it without the necessary Vitality.",,
Generate ESB ItemName:Knight Armorand it's \nDescription:,"Iron armor of an unknown knight. It is made of thin iron plate. Such metal armor is heavy, but provides considerable damage negation.",,
Generate ESB ItemName:Knight's Garband it's \nDescription:,Attire of the knights of Cainhurst. A regal piece graced by intricate goldwork. The Cainhurst way is a mix of nostalgia and bombast. They take great pride even in the blood-stained corpses of beasts that they leave behind. confident that they will stand as examples of decadent art.,,
Generate ESB ItemName:Knight's Wigand it's \nDescription:,"Adornment prized by the knights of Cainhurst. Resembles a ponytail of silver hair. The Cainhurst way is a mix of nostalgia and bombast. They take great pride even in the blood-stained corpses of beasts that they leave behind, confident that they will stand as examples of decadent art.",,
Generate ESB ItemName:Land of Reeds Armorand it's \nDescription:,"Armor made from strips of iron fastened together. Worn by warriors of the Land of Reeds. The grimy outer mantle is made from withered reeds from the warrior's birthplace. Perhaps its comforts extend to nostalgic thoughts of home. Altered: The Land of Reeds has long been locked in a miserable civil war, during which time it has remained alienated from the cultures of its neighbors. Little wonder that the entire nation has succumbed to the blood-soaked madness, or so it has said.",,
Generate ESB ItemName:Lazuli Glintstone Crownand it's \nDescription:,One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence and dexterity to the detriment of HP. Scholars of the Lazuli Conspectus study Carian sorceries - a heterodox pursuit that views the moon as equal to the stars.,,
Generate ESB ItemName:Lazuli Robeand it's \nDescription:,"Robe worn by scholars of the Lazuli Conspectus, singular among the greater Raya Lucaria Academy. These scholars, who sought to master Carian sorcery, instead learned to see the moon as equal to the stars. This robe, in the hue of the full moon, signifies their heresy.",,
Generate ESB ItemName:Leather Armorand it's \nDescription:,Made of soft leather. Very common type of protective gear,,
Generate ESB ItemName:Leather Armorand it's \nDescription:,"An old armor that is oddly comfortable. Belonged to a Hunter. To this day, the forbidden love of Prince of Alken and the Princess of Venn manipulates these marionettes. Surely they never imagined that their dolls would outlast their own kingdoms.",,
Generate ESB ItemName:Leather Armorand it's \nDescription:,"The name Pharis is said to have once belonged to a hero, but is now more widely known as a style of hat. Armor made of smooth leather. Even lighter and more flexible than most leather armors.",,
Generate ESB ItemName:Leather Armorand it's \nDescription:,Lightweight and battle-proven leather armor worn by a savvy soldier. Many admire the wearer of this armor for his chivalrous and forthright spirit.,,
Generate ESB ItemName:Leonhard's Garband it's \nDescription:,"(Piece Name) of Ringfinger Leonhard. Leonhard was born into royalty, which is believed to be the reason for his skill in both sorcery and swordsmanship. In his youth, Leonhard suffered grave burns to his entire body. His face in particular, which he hid beneath his mask, was terribly scalded. He abstained from restoring these injuries, even after becoming a Finger of Roasaria. (Mask) Indeed this dingy garb is in fact embroidered with gold thread, betraying its purpose as military wear designed for a noble. (Chest) Indeed, these dingy gauntlets are in fact decorated with silver, betraying their purpose as military wear designed for a noble. (Gauntlets) Indeed, these dingy trousers are in fact meticulously tanned, betraying their purpose as military wear designed for a noble. (Leggings)",,
Generate ESB ItemName:Leydia Black Robeand it's \nDescription:,"Cloak worn by Leydia witches. Leydia apostles worship Galib, god of disease. They once resided in the Undead Crypt beside Fenito. The Leydia witches grew conceited, and began to manipulate both the onset and curing of disease, making themselves the effective gatekeepers of the crypt",,
Generate ESB ItemName:Leydia White Robeand it's \nDescription:,"Robe of a Leydia Pyromancer. Leydia apostles, in their conceit, occupied the Undead Crypt and misused death. This invoked the ire of Fenito, who branded them as transgressors",,
Generate ESB ItemName:Leyndell Knight Armorand it's \nDescription:,"Armor worn by knights sworn to defend the royal capital of Leyndell. Its left breast is emblazoned with a symbol of Erdtree Worship, said to have once been imbued with an incantation of protection.",,
Generate ESB ItemName:Lion Mage Skirtand it's \nDescription:,"Skirt worn by Lion Clan mages.The Lion Clan are an offshoot race that appear in historical records quite abruptly, as if one day they climbed out of the depths of the very earth itself.",,
Generate ESB ItemName:Lion Warrior Capeand it's \nDescription:,"cape worn by Lion Clan warriors. The Lion Clan are an offshoot race that have no ties to humans, and would murder anyone with the curious notion of approaching them. The lion clansmen seem to despise their own looks, as they hate being seen.",,
Generate ESB ItemName:Lion Warrior Cuffsand it's \nDescription:,,,
Generate ESB ItemName:Lionel's Armorand it's \nDescription:,"Round iron armor with a banner extending from its back. Worn by the Lionel the Lionhearted. When this chivalrous dauntless knight met Fia, who had been driven from her home, he declared himself to be her father.",,
Generate ESB ItemName:Llewellyn Armorand it's \nDescription:,"Armor reinforced with rare geisteel. Belonged to Chancellor Wellager. Excellent defensive gear that is of exceptional Quality both light and strong. Crafted by the castle's resident master smith Llewellyn, and supplied only to a selected few. His work easily identified by its lack of ostentation, Llewellyn focused solely on an economy of simplicity and strength.",,
Generate ESB ItemName:Looking Glass Armorand it's \nDescription:,"Armor worn by the Looking Glass Knight. Made of metal, but have high lightning defense. Those who wish to serve the king loyal warriors must take the King's Passage and face the Looking Glass Knight. Those who fail the test are sacrificed by the merciless specular monstrosity",,
Generate ESB ItemName:Lord's Blade Robeand it's \nDescription:,"Robe of the Lord's Blade Ciaran, one of Gwyn's Four Knights. A robe common to all of the Lord's Blades, These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets",,
Generate ESB ItemName:Lorian's Armorand it's \nDescription:,"Armor of Prince Lothric's older brother Lorian. This black-dyed brass helm is patterned with flame. (Helm) This black-dyed brass armor was passed down to him from the royal family. (chest) These black-dyed brass gauntlets were passed down to him from the royal family. (Gauntlets) Lorian, raised as a knight, is said to have been left mute and crippled by his younger brother's curse. It is also said that Lorian, in fact, wished it so.",,
Generate ESB ItemName:Lorian's Helmand it's \nDescription:,"Armor of Prince Lothric's older brother Lorian. This black-dyed brass helm is patterned with flame. Lorian, raised as a knight, is said to have been left mute and crippled by his younger brother's curse. It is also said that Lorian, in fact, wished it so.",,
Generate ESB ItemName:Lothric Knight Armorand it's \nDescription:,"Armor of a celebrated Lothric knight. A strong steel armor, if a little worn. The Knight has served as one of the Three Pillars since ancient times, and shares place alongside the wyverns as a symbol of Lothric. Only those possessing a knight's resolve are fit to wear this garment.",,
Generate ESB ItemName:Lucatiel's Glovesand it's \nDescription:,"Gloves worn by knights while on travel. Belonged to Lucatiel of Mirrah. Only those who have distinguished themselves on the battlefield were admitted into the elite ranks of Mirrah's official order of knights. It is common to hear of a peasant's dream of striving for knighthood as an escape from hardship, but who would ever think it possible?",,
Generate ESB ItemName:Lucatiel's Maskand it's \nDescription:,"Mask attached to a ceremonial hat. Belonged to Lucatiel of Mirrah. Normally hats and masks are separate, but these two have been adjoined",,
Generate ESB ItemName:Lucatiel's Maskand it's \nDescription:,"Mask attached to a ceremonial hat. A Hollow once fought valiantly with this mask, but feared the fading of her self, and implored a comrade remember her name. Perhaps that is why this gentleman's mask is named after a woman.",,
Generate ESB ItemName:Lusat's Glintstone Crownand it's \nDescription:,"The giant blue glintstone crown worn by Lusat, primeval current sorcerer. This crown replaced Lusat's brain and skull altogether, and now, removed from his body, it is all but dead. What power remains within raises the potency of Lusat's primeval current sorceries at the cost of additional FP consumption.",,
Generate ESB ItemName:Lusat's Robeand it's \nDescription:,"A robe reserved for grand masters at the Academy of Raya Lucaria. Corroded by blue glintstones. Since the grand masters Azur and Lusat were driven from the academy, no one has achieved their formerly-held rank.",,
Generate ESB ItemName:Mad Warrior Armorand it's \nDescription:,Armor from an unknown foreign land. King Vendrick called upon powers from beyond his borders in an attempt to stave off the curse. Perhaps they belonged to one of his guests,,
Generate ESB ItemName:Madman Garband it's \nDescription:,"Most tomb prospectors, members of the Healing Church chosen to explore the old labyrinth, are unable to withstand the weight of the old knowledge, and go mad. This attire is worn by those lost souls. The appendages draped across them are said to be a kind of protective charm, or at least, that is what these lost souls believe with all their hearts.",,
Generate ESB ItemName:Madman Hoodand it's \nDescription:,"Most tomb prospectors, members of the Healing Church chosen to explore the old labyrinth, are unable to withstand the weight of the old knowledge, and go mad. This attire is worn by those lost souls. Truth oft resembles madness, inaccessible to the dull of mind. Those who go mad are merely thoughtful souls who failed to reach any conclusions.",,
Generate ESB ItemName:Maiden Robeand it's \nDescription:,"White robe worn by traveling maidens. It is part of their formal attire, regardless of rank. It is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle",,
Generate ESB ItemName:Maiden Robeand it's \nDescription:,"White robe worn by traveling maidens. Part of their formal attire, regardless of rank. It is soft and well-made, but ill-suited for use in battle.",,
Generate ESB ItemName:Malenia's Armorand it's \nDescription:,"Armor made of unalloyed gold. Worn by Malenia, Blade of Miquella. Malenia awaited Miquella at the foot of the husk. My brother will keep his promise. He possesses the wisdom, the allure, of a god - he is the most fearsome Empyrean of all.",,
Generate ESB ItemName:Malenia's Winged Helmand it's \nDescription:,"Winged helm made of unalloyed gold. Worn by Malenia, Blade of Miquella. Malenia awaited Miquella at the foot of the husk. “My brother will keep his promise. He possesses the wisdom, the allure, of a god – he is the most fearsome Empyrean of all.”",,
Generate ESB ItemName:Malformed Dragon Armorand it's \nDescription:,"Malformed golden armor. Adorned with various dragon imagery and worn by the misshapen Tree Sentinels. After the great ancient dragon Gransax attacked, the sentinels had an epiphany. The only way to truly protect the Erdtree was to become dragons themselves.",,
Generate ESB ItemName:Maliketh's Gauntletsand it's \nDescription:,"Beast's gauntlets made of black iron and decorated with gold. Worn by Maliketh the Black Blade. Maliketh, Queen Marika's loyral half-brother, bore a blade imbued with Destined Death, and there was not one demigod who did not fear him. Champions knew what was at stake. Indeed, that is what made them champions",,
Generate ESB ItemName:Manikin Maskand it's \nDescription:,"Mask of the Manikins of Harvest Valley. A fickle queen gave them life, and tore off their faces. How else could she forgive those who dared gaze upon her. The peculiar art of puppetry is vestige of the two lost lands. A queen breathed life into these dolls with the very miasma that afflicted her poison-drenched bosom, so that she would have slaves to serve her temperamental will.",,
Generate ESB ItemName:Marais Maskand it's \nDescription:,"Mask in the image of a white-haired young noble. Customarily worn by the head of House Marais. Increases arcane. The Marais family has a dual history spanning generations, serving as both executioners and castellans of the Shaded Castle. This mask bears the likeness of the first of their line.",,
Generate ESB ItemName:Marais Robeand it's \nDescription:,Robe with a black mantle across the shoulders. Customarily worn by the head of House Marais. The sons of House Marais are all sickly born. Little wonder that Maleigh Marais would be so beguiled by the beautiful and fierce goddess who was born into rot.,,
Generate ESB ItemName:Maria Hunter Garband it's \nDescription:,"Among the first hunters, all students of Gehrman, was the lady hunter Maria. This was her hunter's cap, garb, gloves, and trousers, crafted in Cainhurst. Maria is distantly related to the undead queen, but had great admiration for Gehrman, unaware of his curious mania",,
Generate ESB ItemName:Marionette Soldier Helmand it's \nDescription:,"Cylindrical helm of plate metal reinforced with a lattice. Worn by marionette soldiers, crafted to serve the sorcerers. The construction of this helm is remarkably crude. For a doll, the only thing that matters is that it does not break.",,
Generate ESB ItemName:Mask of the Sealerand it's \nDescription:,"Mask of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark. It symbolizes their resolve to keep the seal shut forever and their atonement for all who were sacrificed, but two of the three forsook New Londo upon tiring of their duty",,
Generate ESB ItemName:Master's Attireand it's \nDescription:,"A terribly worn shirt Men are fond of weaving tales to explain the raggedness of their garb. My sixth sense warned me of danger, and I danced between flurries of blades unscathed, but alas, my clothes went to tatters.",,
Generate ESB ItemName:Master's Iron Helmand it's \nDescription:,"An iron helm resembling an upside-down bucket. A single hole allows one to peek out with a single eye, which is probably all that its original owner had. The iron helm is passed down among masters of the League. Valtr had in fact lost the ability to see Vermin long ago.",,
Generate ESB ItemName:Mausoleum Knight Armorand it's \nDescription:,"Armor worn by headless knights who endlessly guard the Wandering Mausoleum. The wing-shaped ornaments on its back evoke the Deathbird. A self-inflicted curse that ties the spirits of these loyal knights to the land, having willingly beheaded themselves so that they may serve their masters in death.",,
Generate ESB ItemName:Mausoleum Surcoatand it's \nDescription:,"Armor worn by headless soldiers who endlessly guard the Wandering Mausoleum. The surcoat depicts the mausoleum bell, which rings in constant mourning for the soulless demigods.",,
Generate ESB ItemName:Mensis Cageand it's \nDescription:,"The School of Mensis controls the Unseen Village. This hexagonal iron cage suggests their strange ways. The cage is a device that restrains the will of the self, allowing one to see the profane world for what it is. It also serves as an antenna that facilitates contact with the Great Ones of the dream. But to an observer, the iron cage appears to be precisely what delivered them to their harrowing nightmare.",,
Generate ESB ItemName:Mirrah Chain Mailand it's \nDescription:,"Formal attire of the honorable knights of Mirrah, featuring their heraldry, a stag set against a blue field. Oddly, it was a dishonorable deserter who wore this attire most religiously",,
Generate ESB ItemName:Mirrah Vestand it's \nDescription:,"Garb worn by Mirrah Knights sent on journeys. This hard leather vest is bestowed only upon proven knights. Knights travel afar to fulfill their sacred duties, but few are ever able to deliver on their vows.",,
Generate ESB ItemName:Monastery Long Glovesand it's \nDescription:,"Made of lightweight, flowing white fabric, The ceremonial design suggests that they revered whatever it was they watched over. The purity of the garment, however, neatly symbolizes the fraudulence found at the very heart of the monastery",,
Generate ESB ItemName:Moon Butterfly Wingsand it's \nDescription:,"Wings made from wings of the rare moon butterfly. Poisons those who approach its wearer. Also extends jump distance. Little is known about the moon butterfly, which only appears on full-moon nights in winter. Some say the butterfly is a magical being, and its larvae have never once been spotted. Poisons nearby foes.",,
Generate ESB ItemName:Moonlight Robeand it's \nDescription:,"Robe of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo. The power of the moon was strong in Gwyndolin, and thus he was raised as a daughter. His magic garb is silk-thin and hardly provides any physical defense",,
Generate ESB ItemName:Morne's Armorand it's \nDescription:,"Black armor bestowed upon knights of Carim. Modeled on Morne, the Archbishop's apostle, cast from a unique mineral resembling stone. A Carim knight will dedicate an entire career to attending a single maiden, just as Morne once served one goddess alone.",,
Generate ESB ItemName:Mushroom Bodyand it's \nDescription:,"Mushrooms found growing all over the body. These overgrown mushroom have colonized the torso. To those enraptured by the scarlet rot, they are holy vestments that root one to the earth.",,
Generate ESB ItemName:Nahr Alma Robesand it's \nDescription:,"Robes worn by servants of Nahr Alma, god of blood. Increases souls acquired for each kill. Belonged to Titchy Gren. Those who profess faith in Nahr Alma have rejected all that is this world, and vow to travel a path stained with blood. Blessed with the protection of the god of war Nahr Alma. This armor is much heavier than it looks, overwhelmed by the blood that it has absorbed.",,
Generate ESB ItemName:Nameless Knight Armorand it's \nDescription:,Armor of a nameless knight. Crafted with thin metal greatly reinforced by a grooved finish.,,
Generate ESB ItemName:Navy Hoodand it's \nDescription:,"A hooded cloak of deep navy. Worn by expatriated royalty. Increases mind. Such cloaks were gifted to those who departed on missions to faraway lands, from which they would never return. But what choice did they have, having seen the guidance of grace?",,
Generate ESB ItemName:Night Maiden Twin Crownand it's \nDescription:,"Twin crowns worn by the nightmaidens of the Eternal City. Indicates the highest clerical rank, and hides the eyes with silk. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",,
Generate ESB ItemName:Night's Cavalry Armorand it's \nDescription:,"Pitch-black armor thinly painted with dried blood. Worn by the Night's Cavalry who ride funeral steeds. The Night's Cavalry, who now wander the dim roads at night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",,
Generate ESB ItemName:Noble Dressand it's \nDescription:,A finely tailored bordeaux dress. Worn by the nobles of the old bloodline that traces back to the forsaken Castle Cainhurst.,,
Generate ESB ItemName:Noble's Traveling Garband it's \nDescription:,"Traveling attire fashioned from metallic white silk thread. Worn by expatriated royalty. A gift of such rare beauty, a royal wouldn't disgrace their illustrious heritage even if found dead, in a ditch, in the middle of nowhere, while wearing such splendid raiment.",,
Generate ESB ItemName:Nomadic Merchant's Fineryand it's \nDescription:,"Finery of the nomadic merchants. Decorated with tiny gems in a wide spectrum of colors. These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground. Then, they chanted a curse of despair, and summoned the flame of frenzy.",,
Generate ESB ItemName:Northern Armorand it's \nDescription:,"Iron armor of a stalwart northern warrior. Supported by interwoven chainmail. Iron defensive wear grants superior absorption. Being from the north, it should also offer resistance to the cold.",,
Generate ESB ItemName:Nox Monk Armorand it's \nDescription:,"Armor worn by the monks of the Eternal City, with a silk cape attached. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",,
Generate ESB ItemName:Nox Swordstress Crownand it's \nDescription:,"Crown worn by the swordstresses of the Eternal City. These women are the personal guards of the nightmaidens, and the silk hides their eyes. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",,
Generate ESB ItemName:Official's Attireand it's \nDescription:,"Grubby blue robe worn by magisterial officials to carry out their grim tasks. Surveillance, executions, gruesome rituals... The darkest duties drive the wheels of mankind.",,
Generate ESB ItemName:Okina Maskand it's \nDescription:,"A wooden mask that depicts an Oni baring his teeth. The source of the sobriquet of the great swordman of the Land of Reeds. Raises dexterity as it lowers focus. The more he sharpened his mind, the more the absurdities of the world came into stark relief. And so Okina renounced it all, and rose to a higher plane. There was only himself. His katana. And its mastery. Before long, Okina became a demon of a swordsman.",,
Generate ESB ItemName:Old Aristocrat Cowland it's \nDescription:,"Cowl made of soft cloth. Travel attire worn by nobles in the capital. Garb favored by the aged. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",,
Generate ESB ItemName:Old Hunter Garband it's \nDescription:,"Old Hunter Garb. In the old days, when hunters were ten a penny, this was their standard garb. One day, the hunters disappeared, and Yharnamites began to whisper of the hunters' sin. Drunk with blood, chasing after beasts, they would pass on to the Nightmare, every last one of them",,
Generate ESB ItemName:Old Hunter Glovesand it's \nDescription:,"Old Hunter gauntlets made of brass to protect their weapon-bearing hands. At the time, some hunters believed that certain metals would guard off beast blood. On a night of the hunt, it is no wonder that some resort to superstition",,
Generate ESB ItemName:Old Hunter Top Hatand it's \nDescription:,"Old Hunter Top Hat, warped by blood stains. In the old days, when hunters were ten a penny, this was their standard garb.",,
Generate ESB ItemName:Old Ironclad Armorand it's \nDescription:,"old armor worn by ironclad soldiers. Boasts high defence, but extremely heavy. One day, warriors wearing decrepit armor emerged from drangleic castle, and quietly assumed positions amongst the royal army. not one of them ever spoke a word, or revealed the face under the mask.",,
Generate ESB ItemName:Old Knight Armorand it's \nDescription:,"Old undated Armor How old could this nearly-crumbling armor be? Has extremely low durability. Sometimes, just as a thing falls to pieces, it unleashes its last flash of great power...",,
Generate ESB ItemName:Old Sage's Blindfoldand it's \nDescription:,"The large blindfold blocks out unnecessary light, allowing one to observe a pyromancy's true essence. The flame reveals all, and obscures all",,
Generate ESB ItemName:Old Sorcerer Coatand it's \nDescription:,"Traditional attire worn by sorcerers of the Vinheim Dragon School. Long ago, sorcerers were said to always dress properly, even while on distant journeys of discovery, even before such journeyes were established curriculum.",,
Generate ESB ItemName:Omen Armorand it's \nDescription:,"Malformed armor resembling an Omen with its horns cut off. Worn by the Dung Eater. The heavy, sun-shaped medallion represents both the guidance he once saw, and the ring to which it will one day lead.",,
Generate ESB ItemName:Omenkiller Robeand it's \nDescription:,"Robe worn by the Omenkillers, butchers of twisted conscience. Its thick apron is worn in remembrance Rollo, the progenitor of the Omenkillers and a perfumer of antiquity",,
Generate ESB ItemName:Omensmirk Maskand it's \nDescription:,"Mask with long, hideously twisted horns worn by the Omenkillers. Increases strength. Bears the smirking face of an elder, twisted in wicked delight. This visage is carved in the image of the evil spirits that haunt the Omen in their nightmares.",,
Generate ESB ItemName:Ornstein's Armorand it's \nDescription:,"Armor of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo. Ornstein is believed to be the captain of the Four Knights. His golden lion armor is imbued with the power of lightning and should provide good protection against it.",,
Generate ESB ItemName:Ornstein's Helmand it's \nDescription:,"Helm of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo. Ornstein is believed to be the captain of the Four Knights. His golden lion helm is imbued with the power of lightning and should provide good protection against it",,
Generate ESB ItemName:Outrider Knight Armorand it's \nDescription:,"Armor of an Irithyll outrider knight. Enveloped in a dimly cool air. The knights were given the eyes of the Pontiff, but the eyes transformed them into savage, raving warriors who only knew how to serve as mindless guards.",,
Generate ESB ItemName:Page Garband it's \nDescription:,"Garb worn by pages who serve the nobility and are mindful to keep them out of harm's way. Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",,
Generate ESB ItemName:Painting Guardian Gownand it's \nDescription:,"Attire of the Painting Guardians, whose forms are described in the mythology of heretics. A smooth pale hood that deters magic. The hunchbacked teller of ancient tales describes unwanted souls who are unwelcome across the lands, and are eventually drawn into a cold, painted world.",,
Generate ESB ItemName:Painting Guardian Robeand it's \nDescription:,"Robe worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offer substantial protection versus magic. They have guarded the Great Painting of Ariamis for ages, passing their duty down through generations, but the reason for doing so passed from all memory long ago",,
Generate ESB ItemName:Paladin Armorand it's \nDescription:,"Armor of Leeroy, Paladin of the Catacombs. Long ago, the Way of the White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White",,
