Item Name,Item Description,Story
Hawk Ring,"A ring graced with the engraving of the hawk. Extends the range of arrows. Blue eyed Durgo, the nomadic bowman, had many valiant victories in battle, half owing to the boon of this ring.","The ring bestowed power to the user's arrows, allowing them to shoot further than usual. Durgo, a skilled bowman, relied on this ring to help him win battles."
Hawkwood's Swordgrass,"Blood-stained swordgrass of Hawkwood, deserter of the Undead Legion. Traditionally, the Undead Legion of Farron sends the gravest of messages using swordgrass. Come to the mausoleum in Farron. Only one can take the path of ancient dragons.",The Blood-stained swordgrass of Hawkwood is a rare and powerful plant that only grows in the mausoleum of Farron. It is said that the only person who can take the path of ancient dragons is the one who finds and takes the swordgrass.
Heater Shield,Small metal shield. A standard widely-used shield. This shield is easy to use and is one of the smallest shields that offers 100% physical damage reduction.,The small metal shield is a common shield that offers 100% physical damage reduction. It is easy to use and is one of the smallest shields that offers this protection.
Heavy Bolt,"Large bolt. Used mainly with the Heavy Crossbow. These weighty bolts inflict high damage, but have reduced range.","The large bolt is a heavy crossbow bolt that inflicts high damage, but has a reduced range. It is most commonly used with the Heavy Crossbow."
Heavy Boots,"Boots made of thick leather. The boots of the pyromancers are incredibly tough, on account of the rugged grasslands and treacherous swamps they must traverse. Their soles are nearly impenetrable","The boots of the pyromancers are incredibly tough, on account of the rugged grasslands and treacherous swamps they must traverse. The boots are also incredibly comfortable, thanks to the thick leather. The boots are perfect for walking through the grasslands and the swamps, as their soles are nearly impenetrable."
Heavy Crossbow,"Powerful large crossbow. While bows require both hands, a crossbow is held in one, but arming each bolt takes time.","The large crossbow was a powerful weapon that required only one hand to use. The arming of each bolt took time, but it was a deadly weapon when used correctly."
Heavy Gem,"A gem of infused titanite. Famously used to forge Farron greatswords. Used in infusion to create heavy weapons. A warrior can appreciate a heavy weapon, for they scale effectively with strength.","The gem of infused titanite is a legendary item used to forge Farron greatswords. It is also used in infusion to create heavy weapons, which are ideal for warriors who want to scale effectively with strength."
Heide Greatlance,"A lance originating in Heide. A special alloy makes it very durable. The tip of the lance has been extended. The composition of the alloy of these lances remains a mystery, but in Drangleic the attempt to imitate it resulted in the similar bradden steel. Lances are normally wielded by mounted knights and it takes considerable training to handle one on the ground.","The lance that originated in Heide was a special alloy that made it very durable. The tip of the lance had been extended, making it easier to wield on the ground. The composition of the alloy of these lances remains a mystery, but in Drangleic the attempt to imitate it resulted in the similar bradden steel. Lances are normally wielded by mounted knights, and it takes considerable training to handle one on the ground."
Heide Knight Chainmail,"Chainmail worn by Heide Knights. Whether Heide refers to a kingdom or was just a name for the land is not clear, for no records date back far enough to tell. All that is known is that the Way of Blue has its origins in Heide, and that Heide was later subsumed by the sea.","The Heide Knights wore chainmail armor that was said to be imbued with the power of the Way of Blue. The armor was said to have originated from Heide, a kingdom that was later subsumed by the sea. The armor was said to be powerful and able to protect its wearer from harm."
Heide Knight Sword,"Straight sword originating in Heide, A special alloy makes it very durable. The composition of the alloy of these swords remains a mystery, but in Drangleic the attempt to imitate it resulted in the similar bradden steel.","The straight sword originating from Heide is a special alloy made with a unique composition that makes it very durable. The attempt to imitate it resulted in the similar bradden steel. In Drangleic, the straight sword is a powerful weapon that can easily cleave through enemies."
Heidi Lance,"A lance originating in Heide. A special alloy makes it very durable. The composition of the alloy of these lances remains a mystery, but in Drangleic the attempt to imitate it resulted in the similar bradden steel. Lances are normally wielded by mounted knights, and it takes considerable training to handle one on the ground.","The lance that originated in Heide was a special alloy that made it very durable. The attempt to imitate it resulted in the similar bradden steel. Lances are normally wielded by mounted knights, and it takes considerable training to handle one on the ground."
Heir Rune,"A secret symbol left by Caryll, runesmith of Byrgenwerth. The Heir sees sentimentality in the warmth of blood, acknowledging this as one of the darker hunter techniques. More Blood Echoes gained from visceral attacks. Perhaps the Heir is a hunter who bears the echoing will of those before him.","Caryll's runesmithing skills are renowned, and she often leaves behind secret symbols that hint at her work. One such symbol is the Blood Echo, a warm glow that emanates from visceral attacks. Some believe that the Blood Echo is a sign of the Heir's dark hunter techniques, acknowledging the darkness within them."
Helix Halberd,"An undated halberd. Wielded by a warrior from a time so ancient that there exists no record of his endeavors. Has extremely low durability. Sometimes, just as a thing falls to pieces, it unleashes its last flash of great power...","The halberd was once wielded by a warrior from a time so ancient that there exists no record of his endeavors. One day, the weapon fell to pieces and its last flash of great power was unleashed. Now, anyone who wields the halberd can draw upon its power."
Helphen's Steeple,"Greatsword patterned after the black steeple of the Helphen, the lampwood which guides the dead of the spirit world. The lamplight is similar to grace in appearance, only it is said that it can only be seen by those who met their death in battle.","The Helphen, a black steeple that guides the dead of the spirit world, is the inspiration for a greatsword. The blade is patterned after the lamplight, and its appearance is said to be similar to grace. Only those who have died in battle can see it, and its light is said to be like a beacon of hope in the dark."
Henryk's Hunter Cap,"Hunter's hat worn by Henryk, the old hunter. The taciturn old hunter Henryk was once partners with Father Gascoigne, and though they were a fierce and gallant duo, their partnership led to Henryk's tragically long life. Henryk's unique yellow garb is resistant to bolt and will be of great help to any hunter who has inherited the onus of the hunt.","Henryk's hat is a relic of a bygone era, when hunters and their dogs worked together to bring down game. The hat is made from a tough, resilient material that helps protect against bolts, and it will be a valuable asset to any hunter who wears it. Henryk's hat is a reminder of the bonds of friendship and brotherhood that can last a lifetime."
Henryk's Hunter Garb,"Hunter's attire worn by Henryk, the old hunter. The taciturn old hunter Henryk was once partners with Father Gascoigne, and though they were a fierce and gallant duo, their partnership led to Henryk's tragically long life. Henryk's unique yellow garb is resistant to bolt and will be of great help to any hunter who has inherited the onus of the hunt.","Henryk's attire is a sign of his long and successful partnership with Father Gascoigne. He was a fierce and gallant hunter, and his unique garb was resistant to bolts, making it a great help to any hunter who has inherited the onus of the hunt."
Herald Armor,"Steel armor, Leather Gloves and Quilted Trousers said to be worn by Heralds of the Way of White, who deliver commandments of duty. Protection made of steel has excellent physical absorption, but is found lacking against blunt strikes and lightning damage.","The armor is said to be worn by Heralds of the Way of White, who deliver commandments of duty. The armor is made of steel, which has excellent physical absorption, but is found lacking against blunt strikes and lightning damage."
Heretic's Staff,"Catalyst used by generations of heretic sorcerers. Sorcery is a logical academic discipline, and the power of sorceries depends heavily on the caster's intelligence. Skill: Steady Chant Boost the strength of sorceries for a very short period. Works while equipped in either hand.",The Catalyst was used by generations of heretic sorcerers. It was said that the Catalyst was used to create the first sorceries. The Catalyst was a powerful tool that allowed sorcerers to boost the strength of their spells. The Catalyst was also very useful in allowing sorcerers to cast their spells while wearing it in either hand.
Hexer's Robes,"Grants slight increase to spell uses. Hexing appears to be an offshoot of sorcery, but its specific origins are unknown. Robes worn by a hexer. Belonged to Felkin the Outcast. Those who have a taste of dark are drawn into its vortex and rarely return. Perhaps it appeals to something deep within the human soul.","Felkin the Outcast's robes grant a slight increase to spell uses. However, the hexer's dark desires draw those who have a taste of sorcery into its vortex, and they rarely return."
Hexing Urn,"Hexed black lacquer urn. Explodes, inflicting dark damage. With the dark art of hexing strictly forbidden, who would dare fill an urn with such power? The very origin of the art are unclear, yet another reason hexing is feared.","The hexed black lacquer urn is a powerful artifact that explodes when filled with dark magic. Whoever fills it with this magic is sure to face consequences, as the origin of hexing is shrouded in mystery."
Heysel Pick,"Choice weapon of Yellowfinger Heysel, a Finger of Rosaria and xanthous scholar. It`s both a weapon and sorcery staff. The gold specks are remnants of lost sorceries.","The Choice Weapon of Yellowfinger Heysel is a Finger of Rosaria, a xanthous scholar, and a powerful weapon. The gold specks are remnants of lost sorceries, and the staff is both a weapon and sorcery staff."
Hidden Blessing,"Holy water blessed by the Queen of Lothric. Fully restores FP. There is a grave in Lothric that sees no visitors, a dark place where rootless warriors rest. The Queen of Lothric alone cared to wish the poor souls good fortune.","The Queen of Lothric bestowed her holy water upon the grave of the rootless warriors, hoping that their luck would be restored."
Hierodas Glintstone Crown,One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence and endurance to the detriment of FP. The crown of Hierodas was granted to scholars who engaged in nomadic study away from the academy.,"Raya Lucaria was a great and powerful empire that spanned the entire continent. It was a time of great prosperity and peace, and the people were happy and content. However, there was one group of people who were not content. These were the scholars, who were constantly looking for new knowledge and ways to improve their society. One day, a crown was bestowed upon the most accomplished of these scholars, and it became known as the Glintstone Crown. This crown increased their intelligence"
High Page Hood,Hood of a page selected for special privilege by the noble they serve. The unassuming sack-like appearance benefits their unseen and unknown stature.,"The hood of a page selected for special privilege by the noble they serve hides their identity and allows them to move about unnoticed. This hood also grants them a certain level of privilege, allowing them to do things others cannot."
Highland Axe,Single-sided axe used by the warriors of the highlands. Brave combatants begin battle by crying out their names. Roars are enhanced by this weapon.,"The single-sided axe is a powerful weapon used by the warriors of the highlands. Brave combatants begin battle by crying out their names, which are then amplified by the weapon's roar."
Highwayman Cloth Armor,Hideously stained and ragged cloth armor. Worn by former foot soldiers who have turned to banditry.,"The armor is stained with blood and dirt, and it is clearly not fit for use anymore. It has been worn by soldiers who have turned to banditry, and it is now a symbol of their criminal lifestyle."
Hollow Gem,"A gem of infused titanite. A stone plentiful in Londor, land of Hollows. Used in infusion to create Hollow weapons. Hollow weapons are said to peer into the essence of its wielder, whose luck boosts attack.","The gem was a prized possession for any adventurer in Londor. It was said to be plentiful in the land of Hollows, and was used in infusion to create Hollow weapons. Hollow weapons were said to peer into the essence of their wielder, granting them an extra boost in attack."
Hollow Infantry Armor,"Armor worn by Hollowed infantry. A piece of basic, minimal equipment. Worse yet, they're worn and nearly falling apart. Not recommended unless your options are spent.","The armor was old and worn, but it was still functional. The metal was tarnished and the leather was frayed, but it still protected the wearer. The Hollowed infantry wore these armor pieces as the cheapest and most basic option, and they were nearly falling apart."
Hollow Soldier Armor,"Apparel worn by Hollow soldiers. It may be old and battered, but its iron construction makes it quite sturdy. It is wise to wear a sturdy form of head protection against arrows and other physical threats. It is so tattered that it barely serves its purpose anymore",The Hollow soldiers wear tattered and battered clothing that is still sturdy. They use this clothing to protect themselves from arrows and other physical threats. The clothing is so tattered that it barely serves its purpose anymore.
Hollow Soldier Armor,"armor, worn by Hollowed Royal Soldiers. Appears to be crafted with quality materials, but is highly degraded and close to falling apart. Wearing this will be of little use.","The armor worn by Hollowed Royal Soldiers is highly degraded and close to falling apart. However, wearing it will provide little protection against the dangers of the world."
Hollow Soldier Shield,Metal shield wielded by Hollow soldiers. Heavily rusted but sturdy providing a strong defense,"The metal shield was heavily rusted, but it was still sturdy and provided a strong defense. It was the perfect tool for a Hollow soldier."
Hollow Thief's Leather Armor,Leather armor worn by Hollow thieves. It stifles noise and helps its wear hide in the shadows,"The leather armor worn by Hollow thieves was designed to help its wearer blend in with the shadows and avoid detection. It was also designed to make little noise, to help its wearer remain undetected."
Hollow Warrior Armor,"Armor worn by Hollow warriors. It is made of thick leather that is tattered with age, It is wise to wear a sturdy form of protection against arrows and other physical threats.","The armor worn by Hollow warriors is made of thick leather that is tattered with age. It is wise to wear a sturdy form of protection against arrows and other physical threats. The armor is also effective against magic, as it is made from the hides of Hollows."
Hollowslayer Greatsword,"Greatsword used for a lifetime by a masked knight. Harbors the fears that lurk within the mind of Hollows, and is particularly effective against them. Bestowed to a proper Mirrah knight long ago. Two-hand to execute special sword techniques.","The greatsword was wielded by a masked knight for many years. The knight had fought many battles, and had faced many fears. One of the fears that the knight had was of Hollows. The greatsword was specifically designed to fight against Hollows, and was very effective against them."
Holy Moonlight Sword,"An arcane sword discovered long ago by Ludwig. When blue moonlight dances around the sword, and it channels the abyssal cosmos, its great blade will hurl a shadowy lightwave. The Holy Moonlight Sword is synonymous with Ludwig, the Holy Blade, but few have ever set eyes on the great blade, and whatever guidance it has to offer, it seems to be of a very private, elusive sort.","Ludwig discovered the sword long ago, and it has been said that when the moon is blue, the sword's power is at its strongest. It is said that the sword can channel the abyssal cosmos, and that by wielding it, one can achieve great things. However, few have ever seen the sword, and even fewer know what it can do."
Holy Robe,"Robe donned by men of the cloth. Though plain to the eye, its hardy fabric repels rain and keeps the body warm. Those dissatisfied with church teachings must test their faith by going on a spiritual journey. Such is the ritual self-purification of the Way of White. Topped by a Distinctive hat worn only by Way of White priests in Thorolund. It is simply meant to show their position within the hierarchy. It holds almost no meaning in the land of Lordran.","A robe worn by men of the cloth. It is plain to the eye, but its hardy fabric repels rain and keeps the body warm. Those dissatisfied with church teachings must test their faith by going on a spiritual journey. Such is the ritual self-purification of the Way of White. Topped by a Distinctive hat worn only by Way of White priests in Thorolund. It holds almost no meaning in the land of Lordran."
Holy Water Urn,"An urn filled with crystal-clear water. Originally intended as a soothing potion, this water scalds the skin of Undead and Hollows. In the old capital of Mirrah, an ancient, well-protected spring produces holy water, but the water has been difficult to acquire ever since Mirrah became embroiled in war.","The city of Mirrah was once a thriving metropolis, but now it is a ruined shell. The war that has ravaged the city has made it difficult to obtain any form of water, let alone holy water. One of the few sources of water is an ancient well protected by an ancient wall. However, the water from the well is scalding hot, and is not safe for Undead or Hollows."
Homeward Bone,Bone fragment reduced to white ash. Return to last bonfire used for resting. Bonfires are fueled by bones of the Undead. In rare cases the strong urge of their previous owner's to seek bonfires enchants their bones with a homeward instinct.,The ash from a bone fragment reduced to white was resting on the last bonfire used for resting. The bonfires are fueled by bones of the Undead and in rare cases the strong urge of their previous owner's to seek bonfires enchants their bones with a homeward instinct.
Homeward Bone,"A white-ashen bone. Return to the last bonfire rested at. Bonfires burn on the bones of Undead. And this bone, belonging to one whose journey was cut short, has the power to travel to bonfires. As if it yearns to resume its futile quest..","The white-ashen bone belonged to a traveler who died before reaching their final destination. The bone's power allows it to travel to bonfires, as if it yearns to resume its quest."
Homunculus Mace,"A pole with lumps attached to it. Found in the manor in Aldia. Heavier than a standard mace, but with more effective striking owing to its hard lumps. In the far eastern outskirts of Drangleic lies an old manor that is now long forgotten. As it should be, for the things that lurk there are better left unknown.","The manor was abandoned long ago, and the only thing that remains now is the pole with the strange lumps attached to it. It's heavier than a standard mace, but with more effective striking owing to its hard lumps. Some say that the lumps are actually the remains of some sort of demon, but no one knows for sure."
Hookclaws,"Weapon worn on the fist comprised of sharp parallel blades favored by those who lurk in the dark. Lacerations cause blood loss with great effect. Claw weapons come in pairs, and two-handing this weapon will equip it to both hands.","The weapon worn on the fist is a fearsome weapon, made up of sharp parallel blades that cause great blood loss. It is a favoured weapon of those who lurk in the dark, as the lacerations caused by the blades cause great damage. The weapon can also be equipped with claws, allowing it to be wielded in two hands."
Horn Bow,Longbow made from animal horn. Wielded by the master hunters of the ancestral followers. Imbues arrows fired with magic damage. Reveals its true worth when used with magic-infused arrows.,"The longbow was made from the horn of an animal. It was used by the master hunters of the ancestral followers. The longbow imbues arrows fired with magic damage. When used with magic-infused arrows, the longbow reveals its true worth."
Horn Bow,Longbow made from animal horn. Wielded by the master hunters of the ancestral followers. Imbues arrows fired with magic damage. Reveals its true worth when used with magic-infused arrows.,"The longbow was made from the horn of an animal. It was used by the master hunters of the ancestral followers. The longbow imbues arrows fired with magic damage. When used with magic-infused arrows, the longbow reveals its true worth."
Hornet Ring,"One of the special rings granted to the four knights of Gwyn. The Hornet Ring Belonged to the Lord's Blade Ciaran. By boosting critical attacks, its wearer can annihilate foes, as Ciaran's dagger laid waste to Lord Gwyn's enemies.","The Hornet Ring was a special ring granted to the four knights of Gwyn. The ring allowed the wearer to boost critical attacks, allowing them to annihilate foes with ease. Ciaran, the Lord's Blade, was known for his deadly critical attacks, and the Hornet Ring helped to enhance this skill."
Horsehoof Ring,"An old ring with a seal depicting a horse's hoof. Boosts kick effect. Unbreakable Patches adored this ring and the feeling that it gave him when he kicked his marks into the depths of treacherous traps, but suffered no shortage of ridicule from his associates for relying so heavily on the tired old trick. But who is the sorrier? The horse who knows only to kick, or the fool who approaches the old beast without thought?","The old ring had been passed down through the family for generations, and was always used by the eldest son to help him with his kicks. One day, the eldest son died in a trap, leaving the ring to his younger brother. The younger brother was devastated by his brother's death, and decided to use the ring to help him through his traps. He became known as the ""kick king"" and was loved by all who knew him."
Hoslow's Armor,"Garish silver armor decorated with red embellishments. Passed down through the Hoslow family. When Juno Hoslow received an invitation to the Volcano Manor, he discreetly refused. I have already walked many a road drenched in blood, yet never would I consider myself a champion.","Juno Hoslow is a simple farmer who lives on the outskirts of a small town. One day, he receives an invitation to visit the Volcano Manor. Juno is hesitant, but decides to go. Once he arrives, he is shocked to find that the Manor is filled with lavish silver armor and weapons. Juno is not a fighter, but he is curious and decides to take a look. He is soon drawn into a battle against the Manor's owner, who is much more skilled than Juno"
Hoslow's Helm,"A twin-tailed silver helm decorated with flowery adornments. Symbol of the head of the revered House of Hoslow. Juno Hoslow had a younger brother who was all talk and no trousers. His inability to commit to action was such that Juno inherited the Hoslow legacy without resistance, granting him the freedom to shower his little brother with adoration.","Juno Hoslow was always a bit of a loner, preferring to spend his time reading or exploring the gardens of the Hoslow estate. One day, he happened to come across his brother's old silver helm. It was covered in beautiful flowers and symbols, and Juno was struck by its beauty. He decided to take it home, and ever since then he's been treated like a king by his brother and the other Hoslow family members."
Hoslow's Petal Whip,"Metal whip formed of razor-sharp chain-link blades that have the appearance of flower petals. This work of art is handed down though the generations of the illustrious House Hoslow. High dexterity is required to wield this weapon, but it excels at inflicting devastation","The Hoslow family has been wielding metal whips with flower petals for generations. The whips are incredibly delicate, but can cause immense damage when used correctly. The Hoslow family is a prestigious one, and the whips are passed down from generation to generation with high dexterity and skill required to use them."
Human Effigy,"A warm, soft, shadow like effigy. Use this item to reverse Hollowing. It also weakens the links to other worlds, invasions and most cooperation. Peer closely at an effigy, and one begins to perceive a human form, but whose form it takes depends on the person looking.","The effigy is a powerful tool that can be used to reverse Hollowing and weaken the links to other worlds, invasions and most cooperation. It is also a symbol of hope and peace."
Human Pine Resin,"Charcoal pine resin rotted with human body fluids. Temporarily applies dark to Main-hand weapon. Normally used in the Undead Settlement for preservation and burials, but can mature into this state, becoming a valuable substance, used in a certain ceremony. Often seen for trade at exorbitant prices.","The charcoal pine resin is normally used in the Undead Settlement for preservation and burials, but can mature into this state, becoming a valuable substance, used in a certain ceremony. Often seen for trade at exorbitant prices."
Humanity,Rare tiny black sprite found on corpses. Use to gain 1 humanity and restore a large amount of HP. This black sprite is called humanity but little is known about its true nature. If the soul is the source of all life then what distinguishes the humanity we hold within ourselves?,"A black sprite was found on the corpses of the undead. It was said to restore a large amount of HP and humanity. Some believed that this sprite was the source of all life, while others believed that it was nothing more than a black curse."
Hunter Axe,"One of the trick weapons of the workshop, commonly used on the hunt. Retains the qualities of an axe, but offers a wider palette of attacks by transforming. Boasts a heavy blunt attack, leading to high rally potential. No matter their pasts, beasts are no more than beasts. Some choose this axe to play the part of executioner.","The workshop's trick weapon, commonly used on the hunt. It retains the qualities of an axe, but offers a wider palette of attacks by transforming. The heavy blunt attack is great for rallying, and it can even transform into a bow to take down targets at a distance."
Hunter Chief Emblem,"A cloth emblem that belonged to the captain of the Church hunters long ago. Opens the main gate that leads to the round plaza of the Great Cathedral. The main gate is shut tight on nights of the hunt, and could only be opened from the other side with this emblem. In other words, the captain's return, and this emblem, determined the end of the hunt.","The cloth emblem belonged to the captain of the Church hunters long ago. When the captain returned, the hunt was over."
Hunter Chief Emblem,"A cloth emblem that belonged to the captain of the Church hunters long ago. Opens the main gate that leads to the round plaza of the Great Cathedral. The main gate is shut tight on nights of the hunt, and could only be opened from the other side with this emblem. In other words, the captain's return, and this emblem, determined the end of the hunt.","The cloth emblem belonged to the captain of the Church hunters long ago. When the captain returned, the hunt was over."
Hunter Garb,"One of the standard articles of hunter attire fashioned at the workshop, this one without the cape that wipes away blood. A fine piece of hunter attire that provides stable defence to anyone facing Yharnam's beastly threat. Allows one to stalk beasts unannounced, by cover of night.","The hunter's attire is a finely crafted piece of clothing that provides stable defence against beasts in Yharnam. It allows hunters to stalk beasts unannounced, by hiding in the shadows during the night."
Hunter Hat,"One of the standard articles of hunter attire fashioned at the workshop. A fine piece of hunter attire that provides stable defence to anyone facing Yharnam's beastly threat. Recognizable by its withered feathers, this cap is fashioned after one of the old hunters.","The withered cap is a relic of the old hunters. It was once a fine piece of hunter attire, but now it is just a piece of worn-out cloth. It provides stable defence against the beasts of Yharnam, and is recognizable by its withered feathers."
Hunter Rune,"A Caryll Rune that transcribes inhuman sounds. This red-smudged rune means Hunter, and has been adopted by those who have taken the Hunter of Hunters oath. These watchmen admonish those who have become addled with blood. Be they men or beasts, anyone who has threatened the pledgers of the Hunter oath surely has an issue with blood.","The Caryll rune is a symbol of the Hunter of Hunters oath, a group of vigilantes who hunt down those who have threatened the safety of others. When someone takes this oath, they are given a red-smudged rune that means ""Hunter"" in their language. These watchmen use this rune to warn others of the dangers of becoming blood-addled, as anyone who threatens the safety of others is likely afflicted with blood-lust."
Hunter's Blackbow,"A black bow designed for long distances. Difficult to handle at first, and requiring some amount of practice to master. The hunting Goddess Evlana was no goddess at all, but rather a brave and highly skilled bow huntress. Long after her demise, the passing of lore transformed her into a deity.","Difficult to handle at first, and requiring some amount of practice to master. Evlana's bow was a black bow designed for long distances. She was skilled in the art of hunting, and used her bow to take down game far beyond her own capabilities. One day, she took down a deer that was much larger than she was. The deer's antlers were so large, they nearly touched the ground. Evlana was so proud of her kill, she decided to take the deer"
Hunter's Ring,"Ring engraved with a portrait of a hunter. Increases dexterity. Increases dexterity 5 points. The hunters serve Lothric on the fringes and in the shadows. For generations, rulers of Lothric have relied especially upon the Black Hand hunters to punish enemies in ways that the king's Three Pillars cannot",A ring with a portrait of a hunter engraved on it increases dexterity by 5 points. The Black Hand hunters are a special force that serve Lothric on the fringes and in the shadows. They are a trusted group of warriors that have been serving the king for generations.
Iaito,"Katana forged in an Eastern land. The Katana is drawn from the scabbard at lightning speed, using an Iaijutsu technique. Iaijutsu allows the wielder to charge forward to swiftly cut down distant foes","The Katana was forged in an Eastern land, and is drawn from the scabbard at lightning speed using an Iaijutsu technique. The Iaijutsu allows the wielder to charge forward to swiftly cut down distant foes."
Ice Rapier,"Rapiers wielded by sorcerers of Eleum Loyce, imbued with a magic that is released with a strong attack. A great protective wall was erected to protect Eleum Loyce from the encroaching chaos, and these sorcerers were amongst its defenders.","The rapiers wielded by the sorcerers of Eleum Loyce are imbued with a magic that is released with a strong attack. This magic is used to protect the city from the encroaching chaos, and the sorcerers are amongst its most ardent defenders."
Icerind Hatchet,"A hatchet with a frost-coated blade. One of several gifts given by Castle Sol in the distant north. Known as freezing fog, the blade is thought to be a dragon's scale. Inflicts a powerful frost effect.","The hatchet was a gift from Castle Sol in the far north. It was known as freezing fog, because the blade inflicted a powerful frost effect."
Idol's Chime,"Sacred chime of Licia of Lindelt. A catalyst for miracles and hexes. In any town there will be a few folk with unusual urges. They either endeavor to resist these urges, or act upon them out of the view of others. The world is not so welcoming they may bare their souls true.","The Licia of Lindelt was a sacred chime that catalyzed miracles and hexes. It was stolen from a church in Lindelt, and the thief was never found. The chime's whereabouts are unknown, but it is rumored to be in the possession of a powerful witch."
Illusory Ring of a Conqueror,"A ring of blue stone. The stone is misshaped, however imperceptibly. renders certain equipment invisible. Do not judge your foes by their appearance. He who approaches without a sword carries two behind his back.","The ring is a powerful artifact that allows its wearer to invisibly conceal their weapons from their opponents. The ring's true power lies in its ability to transform the appearance of any object, making it difficult for opponents to accurately judge an opponent's strength."
Illusory Ring of the Exalted,"A ring of yellow stone. The stone is misshaped, however imperceptibly. Renders certain equipment invisible. Do not judge your foes by their appearance. He who approaches without a sword carries two behind his back.","The ring is a powerful artifact that allows its wearer to make equipment invisible. However, the ring has a dark side; it also makes the wearer immune to critical hits and renders them immune to the effects of most weapons."
Illusory Ring of the Vengeful,"A ring made of red stone. The stone is misshaped, perhaps imperceptibily. Renders certain equipment invisible. Do not judge your foes by their appearance. He who approaches with no sword carries two on his back.","The ring is a powerful tool that can render equipment invisible to the naked eye. It is said that whoever wears the ring is immune to the judgments of others, as they will be unable to see the weapons and armor that they may be carrying."
Immolation Tinder,"Profaned Flame wielded by the Irithyllian witches, frigid spirits roaming the Boreal Valley. This torch, both a weapon and a staff, is enshrouded in an everlasting flame. Skill: Punitive Flame Punish foes with a flame that blankets the ground.",The Irithyllian witches are a secretive and feared sect of witches who reside in the frigid Boreal Valley. They use their Profaned Flame to punish their enemies.
Imperious Armor,"Helmet/Armor/Gauntlets,Leggings worn by once-proud knights. Relics of a party who long ago attempted to conquer the Undead Crypt. For this act of conceit they will never rest in peace, and instead serve as crypt guardians.","The once proud knights who wore these armor and helmets are now crypt guardians, sworn to protect the undead crypt from any who would dare trespass. Though they may have failed in their original quest, they will never rest in peace until the crypt is free from the curse that has befallen it."
Impurity Rune,"A Caryll rune that transcribes inhuman sounds. This rune, discovered inside the forbidden beast eater, came to symbolize Impurity, and the oath of The League. Confederates of The League cooperate with hunters from other worlds, and hunt to discover vermin. Vermin writhe within filth, and are the root of man's impurity. Crush all vermin without hesitation.","The Caryll rune was discovered inside the forbidden beast eater, and came to symbolize Impurity. The League Confederates work together with hunters from other worlds to find and destroy vermin, which are the root of man's impurity. Crush all vermin without hesitation to uphold the oath of The League."
Indictment,"Slip sold by bishop of Velka, Goddess of Sin. If you are killed by an invader, use this to report the crime of that trespasser. The indicted player will be added to a list of unfortunate souls who will one day face the wrath of the Blades of the Darkmoon","The bishop of Velka's slip is a powerful talisman that can be used to report crimes committed against Velka's followers. If you are killed by an invader, use this to report the crime of that trespasser. The indicted player will be added to a list of unfortunate souls who will one day face the wrath of the Blades of the Darkmoon."
Indictment,"Slip sold by bishop of Velka, Goddess of Sin. If you are killed by an invader, use this to report the crime of that trespasser. The indicted player will be added to a list of unfortunate souls who will one day face the wrath of the Blades of the Darkmoon","The bishop of Velka's slip is a powerful talisman that can be used to report crimes committed against Velka's followers. If you are killed by an invader, use this to report the crime of that trespasser. The indicted player will be added to a list of unfortunate souls who will one day face the wrath of the Blades of the Darkmoon."
Infantry Axe,"An axe wielded by Drangleic infantry. A makeshift, crude weapon that deals an underwhelming amount of damage.","The Drangleic axe is a crude weapon that was used by the Drangleic infantry. It is a makeshift, crude weapon that deals an underwhelming amount of damage. However, it is still a formidable weapon in the hands of a skilled fighter."
Inflicted Organ,"Special material used in a Holy Chalice ritual. Special body parts collected by the Healing Church. What was this gruesome bait used to lure? The additional rite Rotted Offering beckons ungodly forces, normally terrifying things, but also worthy prey for a special hunt.","The Healing Church uses a gruesome bait to lure ungodly forces. Normally, things like monsters and demons are used, but this bait is specifically designed to lure creatures that are normally terrifying, but also worthy prey for a special hunt."
Inquisitor's Girandole,"Instrument of torture used on nobles behind the curtain at the Volcano Manor of Mt. Gelmir. Its numerous spikes pierce the flesh, then singe the wounds with flame. The smell of burnt blood induces despair in the victim. A candlestick conveived by a thorough mind.","The Instrument of Torture was created by the masterminds of the Volcano Manor. It was designed to inflict maximum pain on nobles who were behind the curtain. The spikes on the instrument pierce the skin, then the flames singe the wounds. The smell of burnt flesh induces despair in the victim."
Inseparable Sword,"Sword forged by compounding silver and gold. A sacred weapon to hunt Those Who Live in Death. Deals holy damage. The inseparable twins found solace in the Golden Order, the only institution not to revile them as accursed beings.","The twins were born with a curse. They were cursed with a life of solitude and isolation. They found solace in the Golden Order, the only institution that didn't revile them as accursed beings. One day, they found a sword forged from silver and gold. The sword had the power to deal holy damage. The twins were overjoyed and embraced the sword as their new found friend. They vowed to use the sword to hunt down those who live in death."
Insolent Armor,"Armor worn by once-proud clerics. Relics of a party who long ago attempted to conquer the Undead Crypt. For this sin their deaths have been postponed, so they may serve as crypt sentries","The armor is old and worn, but it still bears the markings of a once proud cleric. The cleric's party had long ago attempted to conquer the Undead Crypt, but their deaths were postponed as a punishment. Now, as crypt sentries, the clerics wear the armor to keep the undead at bay."
